049	BANCO SECURITY
811000000	 0553529164648,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0524296374002,00	
811200100	 0459216872354,00	
811200101	 0459216872354,00	
811200102	 0000000000000,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0004210159675,00	
811200700	 0003140096185,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0056027275574,00	
811201100	 0000109645471,00	
811201200	 0001592324743,00	
811300000	 0012144831326,00	
811300100	 0000000000000,00	
811300200	 0005880228171,00	
811300300	 0000000000000,00	
811300400	 0006264603155,00	
811300500	 0000000000000,00	
811300600	 0000000000000,00	
811400000	 0017087959320,00	
811400100	 0013241273604,00	
811400200	 0002180339144,00	
811400300	 0001666346572,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0178010535831,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0167299207624,00	
812200100	 0166403668900,00	
812200101	 0165073224546,00	
812200102	 0000000000000,00	
812200103	 0001330444354,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0000895538724,00	
812201100	 0000000000000,00	
812201200	 0000000000000,00	
812300000	 0007434258092,00	
812300100	 0000000000000,00	
812300200	 0003551160351,00	
812300300	 0000000000000,00	
812300400	 0003883097741,00	
812300500	 0000000000000,00	
812300600	 0000000000000,00	
812400000	 0003277070115,00	
812400100	 0003277070115,00	
812400200	 0000000000000,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0036010761977,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0021132897946,00	
813200100	 0018311274190,00	
813200101	 0018311274190,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000932099946,00	
813200800	 0000067437056,00	
813200900	 0000000000000,00	
813201000	 0001822086754,00	
813201100	 0000000000000,00	
813201200	 0000000000000,00	
813300000	 0001132052108,00	
813300100	 0000000000000,00	
813300200	 0000459193672,00	
813300300	 0000672858436,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0013745811923,00	
813400100	 0008618062339,00	
813400200	 0002719542154,00	
813400300	 0002408207430,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0014607660409,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0010590786266,00	
814200100	 0007252507554,00	
814200101	 0007252507554,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000915522684,00	
814200700	 0000294941641,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0002127814387,00	
814201100	 0000000000000,00	
814201200	 0000000000000,00	
814300000	 0000778990943,00	
814300100	 0000000000000,00	
814300200	 0000004550997,00	
814300300	 0000000000000,00	
814300400	 0000774439946,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0003237883200,00	
814400100	 0001897827976,00	
814400200	 0000770214793,00	
814400300	 0000569840431,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 7413224621147,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 5887508924836,00	
821200100	 5089608919860,00	
821200101	 5078801518142,00	
821200102	 0010334777499,00	
821200103	 0000472624219,00	
821200104	 0000000000000,00	
821200600	 0278282568809,00	
821200700	 0045798651746,00	
821200800	 0005468915024,00	
821200900	 0000000000000,00	
821201000	 0464001564293,00	
821201100	 0002034227574,00	
821201200	 0002314077530,00	
821300000	 1005149537744,00	
821300100	 0000530537084,00	
821300200	 0250131670179,00	
821300300	 0000000000000,00	
821300400	 0753061491628,00	
821300500	 0001425838853,00	
821300600	 0000000000000,00	
821400000	 0520566158567,00	
821400100	 0322394816614,00	
821400200	 0075766658169,00	
821400300	 0122404683784,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 1315445676192,00	
831100000	 0026409092692,00	
831100100	 0010269961650,00	
831100200	 0016139131042,00	
831200000	 0008441769231,00	
831300000	 0000000000000,00	
831500000	 0275635855389,00	
831500100	 0183502830165,00	
831500200	 0092133025224,00	
