051	BANCO FALABELLA
811000000	 0310015803120,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0006439906439,00	
811200100	 0000888032510,00	
811200101	 0000083710947,00	
811200102	 0000000000000,00	
811200103	 0000804321563,00	
811200104	 0000000000000,00	
811200600	 0000000000000,00	
811200700	 0000000000000,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0000000000000,00	
811201100	 0005551873929,00	
811201200	 0000000000000,00	
811300000	 0031140738146,00	
811300100	 0003650897422,00	
811300200	 0005430307436,00	
811300300	 0000000000000,00	
811300400	 0020713055485,00	
811300500	 0000000000000,00	
811300600	 0001346477803,00	
811400000	 0272435158535,00	
811400100	 0073489573269,00	
811400200	 0011699614842,00	
811400300	 0187245970424,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0009851265450,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0003114972915,00	
812200100	 0000029219335,00	
812200101	 0000000000000,00	
812200102	 0000000000000,00	
812200103	 0000029219335,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0000000000000,00	
812201100	 0003085753580,00	
812201200	 0000000000000,00	
812300000	 0000708935465,00	
812300100	 0000168255384,00	
812300200	 0000082564299,00	
812300300	 0000000000000,00	
812300400	 0000414397987,00	
812300500	 0000000000000,00	
812300600	 0000043717795,00	
812400000	 0006027357070,00	
812400100	 0002820959854,00	
812400200	 0003206397216,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0293322241940,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0001598533433,00	
813200100	 0000000000000,00	
813200101	 0000000000000,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000021475865,00	
813200800	 0000000000000,00	
813200900	 0000000000000,00	
813201000	 0000000000000,00	
813201100	 0001577057568,00	
813201200	 0000000000000,00	
813300000	 0000912288823,00	
813300100	 0000000000000,00	
813300200	 0000912288823,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0290811419684,00	
813400100	 0054734362997,00	
813400200	 0005924006169,00	
813400300	 0230153050518,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0060775788837,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0000516543665,00	
814200100	 0000001893727,00	
814200101	 0000001893727,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0000000000000,00	
814201100	 0000514649938,00	
814201200	 0000000000000,00	
814300000	 0001321602689,00	
814300100	 0001321602689,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0000000000000,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0058937642483,00	
814400100	 0014991844065,00	
814400200	 0001206987033,00	
814400300	 0042738811385,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 4470470513436,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 0077557126048,00	
821200100	 0018276009704,00	
821200101	 0016425152292,00	
821200102	 0000000000000,00	
821200103	 0001850857412,00	
821200104	 0000000000000,00	
821200600	 0000000000000,00	
821200700	 0000808123684,00	
821200800	 0000000000000,00	
821200900	 0000000000000,00	
821201000	 0000000000000,00	
821201100	 0058472992660,00	
821201200	 0000000000000,00	
821300000	 0625000722474,00	
821300100	 0051965503422,00	
821300200	 0063740296761,00	
821300300	 0000000000000,00	
821300400	 0492602190782,00	
821300500	 0000000000000,00	
821300600	 0016692731509,00	
821400000	 3767912664914,00	
821400100	 0914732721007,00	
821400200	 0078076476154,00	
821400300	 2775103467753,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 3659196172195,00	
831100000	 0000000000000,00	
831100100	 0000000000000,00	
831100200	 0000000000000,00	
831200000	 0000000000000,00	
831300000	 0000000000000,00	
831500000	 0000000000000,00	
831500100	 0000000000000,00	
831500200	 0000000000000,00	
