055	BANCO CONSORCIO
811000000	 0289935041378,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0280800406668,00	
811200100	 0272896277838,00	
811200101	 0267668590528,00	
811200102	 0005227687310,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0000000000000,00	
811200700	 0000212993805,00	
811200800	 0000000000000,00	
811200900	 0002830267476,00	
811201000	 0003450935510,00	
811201100	 0000000000000,00	
811201200	 0001409932039,00	
811300000	 0006430383987,00	
811300100	 0000000000000,00	
811300200	 0006007688349,00	
811300300	 0000000000000,00	
811300400	 0000000000000,00	
811300500	 0000000000000,00	
811300600	 0000422695638,00	
811400000	 0002704250723,00	
811400100	 0002037799215,00	
811400200	 0000444768648,00	
811400300	 0000221682860,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0006202051406,00	
812100000	 0000009643528,00	
812100100	 0000009643528,00	
812100200	 0000000000000,00	
812200000	 0005839242746,00	
812200100	 0005588297182,00	
812200101	 0005583741996,00	
812200102	 0000000000000,00	
812200103	 0000004555186,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000005657133,00	
812201000	 0000245288431,00	
812201100	 0000000000000,00	
812201200	 0000000000000,00	
812300000	 0000303723759,00	
812300100	 0000000000000,00	
812300200	 0000276049783,00	
812300300	 0000000000000,00	
812300400	 0000013969087,00	
812300500	 0000000000000,00	
812300600	 0000013704889,00	
812400000	 0000049441373,00	
812400100	 0000049441373,00	
812400200	 0000000000000,00	
812400300	 0000000000000,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0030513302100,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0026635485137,00	
813200100	 0026186157157,00	
813200101	 0026186157157,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000402459294,00	
813201000	 0000046868686,00	
813201100	 0000000000000,00	
813201200	 0000000000000,00	
813300000	 0000058064870,00	
813300100	 0000000000000,00	
813300200	 0000024719144,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000033345726,00	
813400000	 0003819752093,00	
813400100	 0003290494069,00	
