999	SISTEMA FINANCIERO
811000000	 11629775541751,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 6959872153692,00	
811200100	 5923557687672,00	
811200101	 5572019078534,00	
811200102	 0164337258856,00	
811200103	 0187201350282,00	
811200104	 0000000000000,00	
811200600	 0103174462346,00	
811200700	 0054157495290,00	
811200800	 0021856568652,00	
811200900	 0021232605932,00	
811201000	 0439750505288,00	
811201100	 0346977374884,00	
811201200	 0049165453628,00	
811300000	 2886240770749,00	
811300100	 0054280322330,00	
811300200	 0128152128233,00	
811300300	 0002226096384,00	
811300400	 2644587898884,00	
811300500	 0012216081231,00	
811300600	 0044778243687,00	
811400000	 1783662617310,00	
811400100	 1121538793346,00	
811400200	 0069060665169,00	
811400300	 0589879332819,00	
811400400	 0000015108378,00	
811400500	 0003168717598,00	
812000000	 5227899145238,00	
812100000	 0000009643528,00	
812100100	 0000009643528,00	
812100200	 0000000000000,00	
812200000	 3013013324570,00	
812200100	 2494982821100,00	
812200101	 2321816665687,00	
812200102	 0060258641527,00	
812200103	 0112907513886,00	
812200104	 0000000000000,00	
812200600	 0051451991417,00	
812200700	 0007535615633,00	
812200800	 0013924817653,00	
812200900	 0000536186480,00	
812201000	 0134596801260,00	
812201100	 0292638812828,00	
812201200	 0017346278199,00	
812300000	 1548857446119,00	
812300100	 0017273262247,00	
812300200	 0044501473512,00	
812300300	 0001644513525,00	
812300400	 1430416435550,00	
812300500	 0040401605990,00	
812300600	 0014620155295,00	
812400000	 0666018731021,00	
812400100	 0439928585740,00	
812400200	 0008399283935,00	
812400300	 0214242048872,00	
812400400	 0000013902179,00	
812400500	 0003434910295,00	
813000000	 2200427855448,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0708278009682,00	
813200100	 0521256986911,00	
813200101	 0444997071088,00	
813200102	 0063621209137,00	
813200103	 0012638706686,00	
813200104	 0000000000000,00	
813200600	 0022048569205,00	
813200700	 0011213969665,00	
813200800	 0007992275511,00	
813200900	 0008858629013,00	
813201000	 0032283650283,00	
813201100	 0062368199124,00	
813201200	 0042255729970,00	
813300000	 0094058762221,00	
813300100	 0001625779717,00	
813300200	 0003803435951,00	
813300300	 0000672858436,00	
813300400	 0081052309538,00	
813300500	 0001051580117,00	
813300600	 0005852798462,00	
813400000	 1398091083545,00	
813400100	 0706351151886,00	
813400200	 0036897550070,00	
813400300	 0647878947173,00	
813400400	 0000030253177,00	
813400500	 0006933181239,00	
814000000	 0564348226290,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0213653514655,00	
814200100	 0166229745688,00	
814200101	 0156800182293,00	
814200102	 0004397943973,00	
814200103	 0005031619422,00	
814200104	 0000000000000,00	
814200600	 0003406381226,00	
814200700	 0001658481723,00	
814200800	 0000754283554,00	
814200900	 0003203279959,00	
814201000	 0012932832814,00	
814201100	 0012226429925,00	
814201200	 0013242079766,00	
814300000	 0066421981707,00	
814300100	 0003677305842,00	
814300200	 0000997200349,00	
814300300	 0000000000000,00	
814300400	 0058947459741,00	
814300500	 0000949823855,00	
814300600	 0001850191920,00	
814400000	 0284272729928,00	
814400100	 0160080663504,00	
814400200	 0010088272807,00	
814400300	 0112580115005,00	
814400400	 0000132861164,00	
814400500	 0001390817448,00	
821000000	 249692555443698,00	
821100000	 1995878850470,00	
821100100	 0030033927956,00	
821100200	 1965844922514,00	
821200000	 138317968669002,00	
821200100	 110576551237848,00	
821200101	 89606326553062,00	
821200102	 8712952255285,00	
821200103	 11793863905147,00	
821200104	 0463408524354,00	
821200600	 9905925244954,00	
821200700	 0996973895578,00	
821200800	 0336391764223,00	
821200900	 4144011946599,00	
821201000	 9079376133875,00	
821201100	 3000869387857,00	
821201200	 0277869058068,00	
821300000	 79219872605029,00	
821300100	 0409570133125,00	
821300200	 5859717993476,00	
821300300	 9949595313299,00	
821300400	 61974598397268,00	
821300500	 0317456093753,00	
821300600	 0708934674108,00	
821400000	 30158835319197,00	
821400100	 16500526639809,00	
821400200	 1023239550235,00	
821400300	 12543509682151,00	
821400400	 0004179651833,00	
821400500	 0087379795169,00	
831000000	 68821333228432,00	
831100000	 3550798306458,00	
831100100	 1550313357811,00	
831100200	 2000484948647,00	
831200000	 1532683566936,00	
831300000	 0008950124768,00	
831500000	 12710210755363,00	
831500100	 9599513860381,00	
831500200	 3110696894982,00	
831600000	 39720008932925,00	
831600100	 4871113322054,00	
831600200	 0895789700944,00	
831600300	 4098927202787,00	
831600400	 29854178707140,00	
831600500	 0000000000000,00	
831700000	 6926281940109,00	
831700100	 4828734503860,00	
831700200	 0364864462970,00	
831700300	 0749439440294,00	
831700400	 0983243532985,00	
831700500	 0000000000000,00	
831800000	 4326593442980,00	
831800100	 1761974756511,00	
831800200	 2564618686469,00	
831900000	 0045806158893,00	
832000000	 16665025816980,00	
832100000	 0712435781946,00	
832100100	 0268947429754,00	
832100200	 0443488352192,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 3087488372749,00	
832500100	 0560664576260,00	
832500200	 0000000000000,00	
832500300	 2526823796489,00	
832700000	 12865101662285,00	
832700100	 10159293625876,00	
832700101	 0014637247662,00	
832700102	 10074113365460,00	
832700103	 0070507931939,00	
832700104	 0000035080815,00	
832700200	 2705808036409,00	
832700201	 0000000000000,00	
832700202	 2705808036409,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 95599983577716,00	
833050000	 11456936977120,00	
833050100	 0327190169444,00	
833050200	 11129746807676,00	
833100000	 40666787518175,00	
833200000	 19622771771708,00	
833300000	 23853487310713,00	
833300100	 22532586460029,00	
833300200	 0000866170563,00	
833300300	 1320034680121,00	
833350000	 0000019644629,00	
833360000	 0000043765420,00	
833370000	 0000000000000,00	
833380000	 0000027897923,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0307924355634,00	
833500100	 0067993380260,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0016660288936,00	
833500500	 0000000000000,00	
833500600	 0223270686438,00	
833500700	 0000000000000,00	
841000000	 12392982208665,00	
841000100	 0522393862172,00	
841000200	 0234693007626,00	
841000300	 0000000000000,00	
841000400	 0228145506120,00	
841000500	 0085723631569,00	
841000600	 11321588026039,00	
841000700	 0000438175139,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0003861706456,00	
843000100	 0000000000000,00	
843000200	 0003861706456,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0025020615270,00	
844200000	 0052316748198,00	
844300000	 0141493325579,00	
844400000	 5773994255699,00	
844400100	 5483811160836,00	
844400200	 0290183094863,00	
844500000	 17681388717704,00	
844500100	 15411836689704,00	
844500200	 0222888430000,00	
844500300	 2046663598000,00	
844600000	 0004261311779,00	
845250000	 5098370340690,00	
845250100	 0046905692577,00	
845250200	 0000000000000,00	
845250300	 0056773069282,00	
845250400	 0003503849207,00	
845250500	 4790578514231,00	
845250501	 2919508172285,00	
845250502	 0036841242570,00	
845250503	 0284310248618,00	
845250504	 0278139751689,00	
845250505	 0258590196706,00	
845250509	 1013188902363,00	
845250600	 0200609215393,00	
845250601	 0071182897044,00	
845250602	 0068589406399,00	
845250603	 0000000000000,00	
845250609	 0060836911950,00	
845500000	 1023042801882,00	
845500100	 0007768792744,00	
845500200	 0000000000000,00	
845500300	 0141043992694,00	
845500400	 0000000000000,00	
845500500	 0874230016444,00	
845500501	 0035515541248,00	
845500502	 0035932417168,00	
845500503	 0048541477251,00	
845500504	 0001395993878,00	
845500509	 0752844586899,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0161135254930,00	
847100000	 0193107574273,00	
847100100	 0005199617956,00	
847100200	 0118794850283,00	
847100300	 0014850224050,00	
847100400	 0013012101138,00	
847100500	 0002409399456,00	
847100600	 0008699151265,00	
847100700	 0030142230125,00	
847200000	 0031972319343,00	
847200100	 0000382668417,00	
847200200	 0022364961634,00	
847200300	 0002645028132,00	
847200400	 0001819763978,00	
847200500	 0000147945400,00	
847200600	 0001777705608,00	
847200700	 0002834246174,00	
851000000	 102024076336317,00	
851100000	 2009395110572,00	
851200000	 100014681225745,00	
852000000	 6800697087368,00	
852100000	 0000000000000,00	
852200000	 6800697087368,00	
853000000	 3565792373376,00	
853100000	 0000000000000,00	
853200000	 3565792373376,00	
854000000	 125998685535272,00	
854200000	 23523176229789,00	
854300000	 75637062147183,00	
854400000	 26838447158300,00	
855000000	 6858664598096,00	
855200000	 2188761210037,00	
855300000	 2886240770749,00	
855400000	 1783662617310,00	
856050000	 27495150265972,00	
856050100	 3483054550972,00	
856050200	 1491097939219,00	
856050300	 0008950124768,00	
856050400	 11612614196978,00	
856050500	 4060545209424,00	
856050600	 4406496999354,00	
856050800	 2391514154283,00	
856050900	 0040877090974,00	
856150000	 0842803560233,00	
856150100	 0044934631118,00	
856150200	 0007653555816,00	
856150300	 0000000000000,00	
856150400	 0664693191883,00	
856150500	 0079264286706,00	
856150600	 0040553056008,00	
856150800	 0005704838702,00	
856150900	 0000000000000,00	
856250000	 0096429845238,00	
856250100	 0017966498553,00	
856250200	 0002761336375,00	
856250300	 0000000000000,00	
856250400	 0065958382391,00	
856250500	 0004484383974,00	
856250600	 0002495947495,00	
856250800	 0002763296450,00	
856250900	 0000000000000,00	
856350000	 4656033211690,00	
856350100	 0004842625815,00	
856350200	 0030930411364,00	
856350300	 0000000000000,00	
856350400	 0360859499804,00	
856350500	 1060710480423,00	
856350600	 1277904241303,00	
856350700	 1751331395367,00	
856350800	 0164525489695,00	
856350900	 0004929067919,00	
856450000	 0024442995114,00	
856450100	 0000000000000,00	
856450200	 0000240324162,00	
856450300	 0000000000000,00	
856450400	 0006085484307,00	
856450500	 0003757885540,00	
856450600	 0003605032622,00	
856450700	 0010643361144,00	
856450800	 0000110907339,00	
856450900	 0000000000000,00	
856550000	 35602547776489,00	
856550100	 0763922829989,00	
856550200	 0958302409577,00	
856550300	 0031694027347,00	
856550400	 6391064073566,00	
856550500	 26804108434141,00	
856550600	 0653456001869,00	
856650000	 0103925573990,00	
856650100	 0005964683340,00	
856650200	 0024943399868,00	
856650300	 0000292184321,00	
856650400	 0006567004409,00	
856650500	 0066158302052,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 4131955884297,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 2361525817840,00	
857200100	 1838018964600,00	
857200101	 1740471309466,00	
857200102	 0055076165946,00	
857200103	 0042471489188,00	
857200104	 0000000000000,00	
857200600	 0039221989106,00	
857200700	 0020067307933,00	
857200800	 0019038086993,00	
857200900	 0014061037783,00	
857201000	 0095637674304,00	
857201100	 0304530989124,00	
857201200	 0030949767997,00	
857300000	 1059317149456,00	
857300100	 0020100686918,00	
857300200	 0063463025272,00	
857300300	 0001241471022,00	
857300400	 0949206560453,00	
857300500	 0011203581261,00	
857300600	 0014101824530,00	
857400000	 0711112917001,00	
857400100	 0342996634610,00	
857400200	 0015605691572,00	
857400300	 0351595473709,00	
857400400	 0000012574584,00	
857400500	 0000902542526,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
