001	BANCO DE CHILE
411000000	 2320579807566,00	
411100000	 2143856714841,00	
411150000	 0004142208612,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0004142208612,00	
411150301	 0004142208612,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0013991667542,00	
411200100	 0013991667542,00	
411200101	 0000000000000,00	
411200102	 0013991667542,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0154726469587,00	
411250100	 0002400073760,00	
411250101	 0002400069447,00	
411250102	 0000000000000,00	
411250103	 0000000004313,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0004608793972,00	
411250201	 0000000000000,00	
411250202	 0004568188549,00	
411250203	 0000000000000,00	
411250204	 0000031094600,00	
411250205	 0000000000000,00	
411250206	 0000009510823,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0147717601855,00	
411250301	 0000000000000,00	
411250302	 0147717601855,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 1044287848887,00	
411280100	 0796459205080,00	
411280101	 0704164883987,00	
411280102	 0000800396727,00	
411280103	 0000000000000,00	
411280104	 0000035478020,00	
411280105	 0000065866199,00	
411280106	 0091392580147,00	
411280200	 0058725243323,00	
411280201	 0000000000000,00	
411280202	 0030962673214,00	
411280203	 0000267290827,00	
411280204	 0027495273071,00	
411280205	 0000000000000,00	
411280209	 0000000006211,00	
411280300	 0038512218265,00	
