009	BANCO INTERNACIONAL
411000000	 0186129124008,00	
411100000	 0146419599212,00	
411150000	 0000000000000,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000000000000,00	
411150301	 0000000000000,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0000000000000,00	
411200100	 0000000000000,00	
411200101	 0000000000000,00	
411200102	 0000000000000,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0000456145826,00	
411250100	 0000456145826,00	
411250101	 0000000000000,00	
411250102	 0000456145826,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0127371137206,00	
411280100	 0100657904992,00	
411280101	 0093140038381,00	
411280102	 0000000000000,00	
411280103	 0007013801705,00	
411280104	 0000049088939,00	
411280105	 0000454975967,00	
411280106	 0000000000000,00	
411280200	 0004477569600,00	
411280201	 0000000000000,00	
411280202	 0001509683196,00	
411280203	 0000000000000,00	
411280204	 0002967886404,00	
411280205	 0000000000000,00	
411280209	 0000000000000,00	
411280300	 0003934697327,00	
411280400	 0000161932704,00	
411280500	 0003357310828,00	
411280501	 0000007134955,00	
411280502	 0003350175873,00	
411280600	 0009739003175,00	
411280601	 0004626110579,00	
411280602	 0005112892596,00	
411280700	 0005042074525,00	
411280701	 0004688258478,00	
411280702	 0000000000000,00	
411280709	 0000353816047,00	
411280900	 0000000644055,00	
411280901	 0000000000000,00	
411280902	 0000000391643,00	
411280990	 0000000252412,00	
411350000	 0002086734170,00	
411350100	 0000000817860,00	
411350200	 0000276194411,00	
411350300	 0000000000000,00	
411350400	 0001809721899,00	
411350401	 0001809721899,00	
411350402	 0000000000000,00	
411350500	 0000000000000,00	
411350900	 0000000000000,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0002471211026,00	
411380100	 0002007315179,00	
411380200	 0000281754896,00	
411380300	 0000182140951,00	
411380400	 0000000000000,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
411450000	 0014034370984,00	
411450100	 0000000000000,00	
411450101	 0000000000000,00	
411450102	 0000000000000,00	
411450109	 0000000000000,00	
411450200	 0011829606431,00	
411450201	 0000000000000,00	
411450202	 0011829606431,00	
411450209	 0000000000000,00	
411450300	 0000003418338,00	
411450400	 0000000000000,00	
411450900	 0002201346215,00	
411700000	 0033475572652,00	
411720000	 0033475572652,00	
411720100	 0032359788160,00	
411720101	 0026982072998,00	
411720102	 0005377715162,00	
411720109	 0000000000000,00	
411720200	 0001115784492,00	
411720201	 0000969636892,00	
411720202	 0000146147600,00	
411720209	 0000000000000,00	
411720300	 0000000000000,00	
411720301	 0000000000000,00	
411720302	 0000000000000,00	
411720303	 0000000000000,00	
411720304	 0000000000000,00	
411720309	 0000000000000,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	 0006233952144,00	
411800100	 0007859330943,00	
411800200	-0002430814974,00	
411800300	 0000805436175,00	
412000000	-0109583615622,00	
412100000	-0112517524185,00	
412150000	 0000000000000,00	
412150100	 0000000000000,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	 0000000000000,00	
412150104	 0000000000000,00	
412150200	 0000000000000,00	
412150201	 0000000000000,00	
412150202	 0000000000000,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0090794539396,00	
412180100	-0090794539396,00	
412180200	 0000000000000,00	
412180201	 0000000000000,00	
412180202	 0000000000000,00	
412180300	 0000000000000,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	 0000000000000,00	
412250000	-0000636050887,00	
412250100	-0000000705164,00	
412250101	 0000000000000,00	
412250102	-0000000705164,00	
412250103	 0000000000000,00	
412250200	 0000000000000,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0000635345723,00	
412250301	-0000635345723,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
412280000	-0007534478409,00	
412280100	 0000000000000,00	
412280110	 0000000000000,00	
412280111	 0000000000000,00	
412280112	 0000000000000,00	
412280113	 0000000000000,00	
412280120	 0000000000000,00	
412280121	 0000000000000,00	
412280122	 0000000000000,00	
412280123	 0000000000000,00	
412280124	 0000000000000,00	
412280129	 0000000000000,00	
412280200	-0005849293444,00	
412280210	-0005849293444,00	
412280211	-0000005583333,00	
412280212	 0000000000000,00	
412280213	-0005843710111,00	
412280220	 0000000000000,00	
412280221	 0000000000000,00	
412280222	 0000000000000,00	
412280223	 0000000000000,00	
412280224	 0000000000000,00	
412280229	 0000000000000,00	
412280300	-0001685184965,00	
412280301	-0001685184965,00	
412280302	 0000000000000,00	
412280400	 0000000000000,00	
412280401	 0000000000000,00	
412280402	 0000000000000,00	
412350000	-0013476282172,00	
412350100	-0000388337041,00	
412350101	-0000303402308,00	
412350102	-0000084934733,00	
412350200	-0013087945131,00	
412350201	-0013087945131,00	
412350203	 0000000000000,00	
412380000	-0000076173321,00	
412380100	-0000076173321,00	
412380101	-0000076173321,00	
412380102	 0000000000000,00	
412380200	 0000000000000,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	 0000000000000,00	
412380300	 0000000000000,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	 0000000000000,00	
412450000	-0000178641334,00	
412500000	-0004868456653,00	
412500100	-0004868456653,00	
412800000	 0007981006550,00	
412800100	 0009221548400,00	
412800200	-0004596895793,00	
412800300	 0003356353943,00	
415000000	 0167512308558,00	
415100000	 0189884709127,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0000000000000,00	
415200100	 0000000000000,00	
415200101	 0000000000000,00	
415200102	 0000000000000,00	
415200109	 0000000000000,00	
415200200	 0000000000000,00	
415200201	 0000000000000,00	
415200202	 0000000000000,00	
415200209	 0000000000000,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
