012	BANCO DEL ESTADO DE CHILE
411000000	 2818445553967,00	
411100000	 2020956066078,00	
411150000	 0043611021423,00	
411150100	 0039562419289,00	
411150101	 0039562419289,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0004048602134,00	
411150301	 0004048602134,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0116605727385,00	
411200100	 0022156949156,00	
411200101	 0000014618048,00	
411200102	 0022142331108,00	
411200109	 0000000000000,00	
411200200	 0094448778229,00	
411200201	 0091838637347,00	
411200202	 0000953099636,00	
411200209	 0001657041246,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0027137171445,00	
411250100	 0005206571673,00	
411250101	 0005206571673,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0021930599772,00	
411250201	 0002992599987,00	
411250202	 0018834334352,00	
411250203	 0000000000000,00	
411250204	 0000103665433,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0824954325446,00	
411280100	 0700208546761,00	
411280101	 0671239448079,00	
411280102	 0001026828956,00	
411280103	 0007388165929,00	
411280104	 0003887987709,00	
411280105	 0000003506363,00	
411280106	 0016662609725,00	
411280200	 0030465028317,00	
411280201	 0000000000000,00	
411280202	 0018949537484,00	
411280203	 0000164384054,00	
411280204	 0011342665755,00	
411280205	 0000000000000,00	
411280209	 0000008441024,00	
411280300	 0021169982132,00	
411280400	 0000481369498,00	
411280500	 0001291114951,00	
411280501	 0001061329709,00	
411280502	 0000229785242,00	
411280600	 0044162183083,00	
411280601	 0000000000000,00	
411280602	 0044162183083,00	
411280700	 0026879349849,00	
411280701	 0025881352281,00	
411280702	 0000043311508,00	
411280709	 0000954686060,00	
411280900	 0000296750855,00	
411280901	 0000000000000,00	
411280902	 0000284714234,00	
411280990	 0000012036621,00	
411350000	 0444385511513,00	
411350100	 0012089913027,00	
411350200	 0025288836800,00	
411350300	 0000000000000,00	
411350400	 0405067208690,00	
411350401	 0351935000986,00	
411350402	 0053132207704,00	
411350500	 0000000000000,00	
411350900	 0001939552996,00	
411350901	 0001244982438,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000694570558,00	
411380000	 0344244397086,00	
411380100	 0240782800138,00	
411380200	 0031514075049,00	
411380300	 0071947521899,00	
411380400	 0000000000000,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
411450000	 0220017911780,00	
411450100	 0202142847216,00	
411450101	 0000000000000,00	
