028	BANCO BICE
411000000	 0451758702751,00	
411100000	 0425581346948,00	
411150000	 0000220810893,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000220810893,00	
411150301	 0000220810893,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0027477757066,00	
411200100	 0020846490840,00	
411200101	 0000000000000,00	
411200102	 0020846490840,00	
411200109	 0000000000000,00	
411200200	 0001639366402,00	
411200201	 0000000000000,00	
411200202	 0001639366402,00	
411200209	 0000000000000,00	
411200300	 0004991899824,00	
411200301	 0000000000000,00	
411200302	 0003285967995,00	
411200303	 0000000000000,00	
411200304	 0001194901230,00	
411200309	 0000511030599,00	
411250000	 0000206069445,00	
411250100	 0000206069445,00	
411250101	 0000000000000,00	
411250102	 0000206069445,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0315987212401,00	
411280100	 0256184002945,00	
411280101	 0242604886375,00	
411280102	 0001154456850,00	
411280103	 0000000000000,00	
411280104	 0000005514231,00	
411280105	 0003997093967,00	
411280106	 0008422051522,00	
411280200	 0015357390592,00	
411280201	 0000000000000,00	
411280202	 0008992643816,00	
411280203	 0000472562227,00	
411280204	 0005677168843,00	
411280205	 0000008198800,00	
411280209	 0000206816906,00	
411280300	 0004527538839,00	
411280400	 0000341456933,00	
411280500	 0015759088286,00	
411280501	 0014678023216,00	
411280502	 0001081065070,00	
411280600	 0023363679479,00	
411280601	 0022740148087,00	
411280602	 0000623531392,00	
411280700	 0000397393737,00	
411280701	 0000000000000,00	
411280702	 0000000331723,00	
411280709	 0000397062014,00	
411280900	 0000056661590,00	
411280901	 0000000000000,00	
411280902	 0000000000000,00	
411280990	 0000056661590,00	
411350000	 0042738410264,00	
411350100	 0000009021116,00	
411350200	 0042585543329,00	
411350300	 0000000000000,00	
411350400	 0000138047931,00	
411350401	 0000138047931,00	
411350402	 0000000000000,00	
411350500	 0000005797888,00	
411350900	 0000000000000,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0019456714295,00	
411380100	 0011571162978,00	
411380200	 0003641666224,00	
411380300	 0004241687569,00	
411380400	 0000002197524,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
411450000	 0019494372584,00	
411450100	 0009663561668,00	
411450101	 0000000000000,00	
411450102	 0000000000000,00	
411450109	 0009663561668,00	
411450200	 0000000000000,00	
411450201	 0000000000000,00	
411450202	 0000000000000,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0000594988722,00	
411450900	 0009235822194,00	
411700000	 0012742018649,00	
411720000	 0012742018649,00	
411720100	 0009053368682,00	
411720101	 0005990510380,00	
411720102	 0003060833660,00	
411720109	 0000002024642,00	
411720200	 0002201981388,00	
411720201	 0001461099778,00	
411720202	 0000419562106,00	
411720209	 0000321319504,00	
411720300	 0001486668579,00	
411720301	 0000000000000,00	
411720302	 0000003647945,00	
411720303	 0001483020634,00	
411720304	 0000000000000,00	
411720309	 0000000000000,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	 0013435337154,00	
411800100	 0007819467928,00	
411800200	-0002772741205,00	
411800300	 0008388610431,00	
412000000	-0294820488161,00	
412100000	-0270972051612,00	
412150000	 0000000000000,00	
412150100	 0000000000000,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	 0000000000000,00	
412150104	 0000000000000,00	
412150200	 0000000000000,00	
412150201	 0000000000000,00	
412150202	 0000000000000,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0193583780356,00	
412180100	-0193500438760,00	
412180200	-0000005200727,00	
412180201	 0000000000000,00	
412180202	-0000005200727,00	
412180300	-0000078140869,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0000078140869,00	
412250000	-0002399697210,00	
412250100	-0001660533017,00	
412250101	-0001660533017,00	
412250102	 0000000000000,00	
412250103	 0000000000000,00	
412250200	 0000000000000,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0000739164193,00	
412250301	-0000739164193,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
