037	BANCO SANTANDER-CHILE
411000000	 2850175083998,00	
411100000	 2140545422756,00	
411150000	 0001062955944,00	
411150100	 0001006483229,00	
411150101	 0000822735769,00	
411150102	 0000183747460,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000056472715,00	
411150301	 0000056472715,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0062875655951,00	
411200100	 0062875655951,00	
411200101	 0000000000000,00	
411200102	 0062875655951,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0000925472231,00	
411250100	 0000925472231,00	
411250101	 0000000000000,00	
411250102	 0000925472231,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000000000000,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0954977876696,00	
411280100	 0677699753994,00	
411280101	 0677690850316,00	
411280102	 0000000000000,00	
411280103	 0000000000000,00	
411280104	 0000000000000,00	
411280105	 0000008903678,00	
411280106	 0000000000000,00	
411280200	 0086857178534,00	
411280201	 0000036948689,00	
411280202	 0046994478764,00	
411280203	 0001445610943,00	
411280204	 0038313096168,00	
411280205	 0000067043970,00	
411280209	 0000000000000,00	
411280300	 0026163392989,00	
411280400	 0016375254593,00	
411280500	 0068688657489,00	
411280501	 0049302306541,00	
411280502	 0019386350948,00	
411280600	 0065981437053,00	
411280601	 0035882859631,00	
411280602	 0030098577422,00	
