039	ITAÚ CORPBANCA
411000000	 2022354682491,00	
411100000	 1715995986711,00	
411150000	 0018264551252,00	
411150100	 0000000142061,00	
411150101	 0000000142061,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0006370188746,00	
411150201	 0006370188746,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0011894161850,00	
411150301	 0011894161850,00	
411150302	 0000000000000,00	
411150400	 0000000058595,00	
411150401	 0000000058595,00	
411150402	 0000000000000,00	
411200000	 0029373170237,00	
411200100	 0001723266828,00	
411200101	 0000444173758,00	
411200102	 0001279093070,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0027649903409,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0027649903409,00	
411250000	 0002009005022,00	
411250100	 0000231215277,00	
411250101	 0000231215277,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0001777789745,00	
411250201	 0001777789745,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0953711258926,00	
411280100	 0749006150200,00	
411280101	 0457643636253,00	
411280102	 0260226393094,00	
411280103	 0000000000000,00	
411280104	 0000003977003,00	
411280105	 0000003083555,00	
411280106	 0031129060295,00	
411280200	 0059639560445,00	
411280201	 0054145029102,00	
