999	SISTEMA FINANCIERO
411000000	 17525273394508,00	
411100000	 14758564019213,00	
411150000	 0094692893495,00	
411150100	 0040893083315,00	
411150101	 0040708703600,00	
411150102	 0000184379715,00	
411150103	 0000000000000,00	
411150200	 0006370188746,00	
411150201	 0006370188746,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0046635140184,00	
411150301	 0046635140184,00	
411150302	 0000000000000,00	
411150400	 0000794481250,00	
411150401	 0000794481250,00	
411150402	 0000000000000,00	
411200000	 0315509116095,00	
411200100	 0150653141901,00	
411200101	 0000609173486,00	
411200102	 0150043968415,00	
411200109	 0000000000000,00	
411200200	 0099485293676,00	
411200201	 0093867715153,00	
411200202	 0003718663135,00	
411200209	 0001898915388,00	
411200300	 0065370680518,00	
411200301	 0000000000000,00	
411200302	 0008078928746,00	
411200303	 0000619604030,00	
411200304	 0001194901230,00	
411200309	 0055477246512,00	
411250000	 0243045494109,00	
411250100	 0025187063559,00	
411250101	 0023103052307,00	
411250102	 0002084006939,00	
411250103	 0000000004313,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0049362542133,00	
411250201	 0010900192772,00	
411250202	 0023402522901,00	
411250203	 0000000000000,00	
411250204	 0000134760033,00	
411250205	 0000069315918,00	
411250206	 0014855750509,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0168385447436,00	
411250301	 0000000000000,00	
411250302	 0158912124025,00	
411250309	 0009473323411,00	
411250400	 0000110440981,00	
411250401	 0000000000000,00	
411250402	 0000110440981,00	
411250409	 0000000000000,00	
411280000	 7183664508630,00	
411280100	 5713731831315,00	
411280101	 5125615970740,00	
411280102	 0408800043233,00	
411280103	 0016467116048,00	
411280104	 0004377107956,00	
411280105	 0009918601548,00	
411280106	 0148552991790,00	
411280200	 0383992835622,00	
411280201	 0054199594861,00	
411280202	 0149439788175,00	
411280203	 0003049209291,00	
411280204	 0132750197037,00	
411280205	 0000268225784,00	
411280209	 0044285820474,00	
411280300	 0170396197107,00	
411280400	 0034909001262,00	
411280500	 0281487804762,00	
411280501	 0190585169796,00	
411280502	 0090902634966,00	
411280600	 0483422827787,00	
411280601	 0202524714520,00	
411280602	 0280898113267,00	
411280700	 0104175289939,00	
411280701	 0097348294097,00	
411280702	 0000963409029,00	
411280709	 0005863586813,00	
411280900	 0011548720836,00	
411280901	 0000003372793,00	
411280902	 0000777801267,00	
411280990	 0010767546776,00	
411350000	 2215838612703,00	
411350100	 0021287993005,00	
411350200	 0132783247980,00	
411350300	 0002922410522,00	
411350400	 2018068012305,00	
411350401	 0986735008028,00	
411350402	 1031333004277,00	
411350500	 0030789692917,00	
411350900	 0009987255974,00	
411350901	 0008652785672,00	
411350902	 0000321385783,00	
411350903	 0000000000000,00	
411350990	 0001013084519,00	
411380000	 4043919636939,00	
411380100	 1881051307691,00	
411380200	 0302174150206,00	
411380300	 1838682282261,00	
411380400	 0000390881026,00	
411380900	 0021621015755,00	
