012	BANCO DEL ESTADO DE CHILE
411000000	 0307171523777,00	
411100000	 0207441595538,00	
411150000	 0005658912993,00	
411150100	 0004836646445,00	
411150101	 0004836646445,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0000822266548,00	
411150301	 0000822266548,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0014234055824,00	
411200100	 0002601750456,00	
411200101	 0000000000000,00	
411200102	 0002601750456,00	
411200109	 0000000000000,00	
411200200	 0011632305368,00	
411200201	 0011385719845,00	
411200202	 0000104533822,00	
411200209	 0000142051701,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0003442526203,00	
411250100	 0000175000000,00	
411250101	 0000175000000,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0003267526203,00	
411250201	 0000411680767,00	
411250202	 0002849337974,00	
411250203	 0000000000000,00	
411250204	 0000006507462,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0095696685664,00	
411280100	 0081190365523,00	
411280101	 0078344650724,00	
411280102	 0000104861798,00	
411280103	 0000798698744,00	
411280104	 0000321140712,00	
411280105	 0000000283744,00	
411280106	 0001620729801,00	
411280200	 0004612265367,00	
411280201	 0000000000000,00	
411280202	 0002848252370,00	
411280203	 0000011494262,00	
411280204	 0001748785801,00	
411280205	 0000000000000,00	
411280209	 0000003732934,00	
411280300	 0002082941514,00	
411280400	 0000074991640,00	
411280500	 0000133978823,00	
411280501	 0000127463931,00	
411280502	 0000006514892,00	
411280600	 0005152656669,00	
411280601	 0000000000000,00	
411280602	 0005152656669,00	
411280700	 0002412442269,00	
411280701	 0002345119070,00	
411280702	 0000002351765,00	
411280709	 0000064971434,00	
411280900	 0000037043859,00	
411280901	 0000000000000,00	
411280902	 0000035806069,00	
411280990	 0000001237790,00	
411350000	 0039858478181,00	
411350100	 0000877575643,00	
411350200	 0002062069019,00	
411350300	 0000000000000,00	
411350400	 0036753868722,00	
411350401	 0032010235660,00	
411350402	 0004743633062,00	
411350500	 0000000000000,00	
411350900	 0000164964797,00	
411350901	 0000104874434,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000060090363,00	
411380000	 0034635128215,00	
411380100	 0023638499762,00	
411380200	 0003351812911,00	
411380300	 0007644815542,00	
411380400	 0000000000000,00	
411380900	 0000000000000,00	
411380901	 0000000000000,00	
411380990	 0000000000000,00	
