999	SISTEMA FINANCIERO
411000000	 1960262396266,00	
411100000	 1582845862414,00	
411150000	 0010375123977,00	
411150100	 0005059019304,00	
411150101	 0004882364814,00	
411150102	 0000176654490,00	
411150103	 0000000000000,00	
411150200	 0000681334006,00	
411150201	 0000020516700,00	
411150202	 0000660817306,00	
411150203	 0000000000000,00	
411150300	 0004557070964,00	
411150301	 0004557070964,00	
411150302	 0000000000000,00	
411150400	 0000077699703,00	
411150401	 0000077699703,00	
411150402	 0000000000000,00	
411200000	 0033115966188,00	
411200100	 0013773628529,00	
411200101	 0000000225131,00	
411200102	 0013773403398,00	
411200109	 0000000000000,00	
411200200	 0011973670520,00	
411200201	 0011501525590,00	
411200202	 0000319478757,00	
411200209	 0000152666173,00	
411200300	 0007368667139,00	
411200301	 0000000000000,00	
411200302	 0000765235560,00	
411200303	 0000014143561,00	
411200304	 0000124612412,00	
411200309	 0006464675606,00	
411250000	 0028326213634,00	
411250100	 0001093874180,00	
411250101	 0000661643156,00	
411250102	 0000432231024,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0008113206211,00	
411250201	 0002958897752,00	
411250202	 0003331027965,00	
411250203	 0000000000000,00	
411250204	 0000007140167,00	
411250205	 0000011242039,00	
411250206	 0001804898288,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0019119133243,00	
411250301	 0000000000000,00	
411250302	 0018319109560,00	
411250309	 0000800023683,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0826797890828,00	
411280100	 0659784701484,00	
411280101	 0595912080791,00	
411280102	 0047125046444,00	
411280103	 0001789488908,00	
411280104	 0000358362768,00	
411280105	 0000894644240,00	
411280106	 0013705078333,00	
411280200	 0052647706152,00	
411280201	 0007874805395,00	
411280202	 0021251876722,00	
411280203	 0000241586660,00	
411280204	 0017133780100,00	
411280205	 0000018726915,00	
411280209	 0006126930360,00	
411280300	 0016452160559,00	
411280400	 0003613589245,00	
411280500	 0034774195612,00	
411280501	 0021228222630,00	
411280502	 0013545972982,00	
411280600	 0049228451945,00	
411280601	 0019625298198,00	
411280602	 0029603153747,00	
411280700	 0008705059836,00	
411280701	 0008150906675,00	
411280702	 0000072525862,00	
411280709	 0000481627299,00	
411280900	 0001592025995,00	
411280901	 0000000000000,00	
411280902	 0000052448755,00	
411280990	 0001539577240,00	
411350000	 0204814813923,00	
411350100	 0001588950435,00	
411350200	 0010413051948,00	
411350300	 0000253018196,00	
411350400	 0189358257301,00	
411350401	 0093495413245,00	
411350402	 0095862844056,00	
411350500	 0002371850969,00	
411350900	 0000829685074,00	
411350901	 0000711799532,00	
411350902	 0000037665776,00	
411350903	 0000000000000,00	
411350990	 0000080219766,00	
411380000	 0398530654253,00	
411380100	 0178769846987,00	
411380200	 0032523204264,00	
411380300	 0185379170711,00	
411380400	 0000033147664,00	
411380900	 0001825284627,00	
411380901	 0000197049328,00	
411380990	 0001628235299,00	
411450000	 0080885199611,00	
411450100	 0046064239544,00	
411450101	 0000001930419,00	
411450102	 0035486114681,00	
411450109	 0010576194444,00	
411450200	 0000672466358,00	
411450201	 0000000018503,00	
411450202	 0000672447855,00	
411450209	 0000000000000,00	
411450300	 0000000296899,00	
411450400	 0008341123627,00	
411450900	 0025807073183,00	
411700000	 0303886498107,00	
411720000	 0299251294154,00	
411720100	 0241907788337,00	
411720101	 0212231751043,00	
411720102	 0029372790377,00	
411720109	 0000303246917,00	
411720200	 0033872751382,00	
411720201	 0030733210788,00	
411720202	 0002107130943,00	
411720209	 0001032409651,00	
411720300	 0023470754435,00	
411720301	 0003443194369,00	
411720302	 0007925137107,00	
411720303	 0001571150516,00	
411720304	 0000633395502,00	
411720309	 0009897876941,00	
411740000	 0004635203953,00	
411740100	 0000771834468,00	
411740101	 0000000000000,00	
411740102	 0000771834468,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0003863369485,00	
411800000	 0073530035745,00	
411800100	 0117818648759,00	
411800200	-0069278160776,00	
411800300	 0024989547762,00	
412000000	-1164339802510,00	
412100000	-0987698473393,00	
412150000	-0042897191478,00	
412150100	-0029012100952,00	
412150101	 0000000000000,00	
412150102	-0000193211533,00	
412150103	-0028768471873,00	
412150104	-0000050417546,00	
412150200	-0007965067194,00	
412150201	 0000000000000,00	
412150202	-0007965067194,00	
412150300	 0000000000000,00	
412150500	-0005920023332,00	
412180000	-0723425970495,00	
412180100	-0687221545749,00	
412180200	-0024621742522,00	
412180201	-0020477871934,00	
412180202	-0004143870588,00	
412180300	-0011582682224,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0011582682224,00	
412250000	-0020851786626,00	
412250100	-0005452088699,00	
412250101	-0005413142431,00	
412250102	-0000038946268,00	
412250103	 0000000000000,00	
412250200	-0001314151216,00	
412250201	-0000022028233,00	
412250202	-0000993443072,00	
412250203	-0000298679911,00	
412250300	-0013894122883,00	
412250301	-0013894122883,00	
