999	SISTEMA FINANCIERO
811000000	 12850945339571,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 7479250728197,00	
811200100	 6403752267809,00	
811200101	 5991120409015,00	
811200102	 0185345176101,00	
811200103	 0227286682693,00	
811200104	 0000000000000,00	
811200600	 0092873106502,00	
811200700	 0062040149866,00	
811200800	 0026727402091,00	
811200900	 0026637663590,00	
811201000	 0428477050115,00	
811201100	 0376447737456,00	
811201200	 0062295350768,00	
811300000	 3274082268383,00	
811300100	 0054179001192,00	
811300200	 0122263495062,00	
811300300	 0002489224527,00	
811300400	 3036347778763,00	
811300500	 0011891901285,00	
811300600	 0046910867554,00	
811400000	 2097612342991,00	
811400100	 1332428449579,00	
811400200	 0080542463332,00	
811400300	 0681113784648,00	
811400400	 0000029051638,00	
811400500	 0003498593794,00	
812000000	 5959808647615,00	
812100000	 0000017084253,00	
812100100	 0000017084253,00	
812100200	 0000000000000,00	
812200000	 3458422399995,00	
812200100	 2872926072160,00	
812200101	 2630379984541,00	
812200102	 0094455179269,00	
812200103	 0148090908350,00	
812200104	 0000000000000,00	
812200600	 0059559269533,00	
812200700	 0010124722764,00	
812200800	 0018707208288,00	
812200900	 0000520559954,00	
812201000	 0158652007341,00	
812201100	 0305850717538,00	
812201200	 0032081842417,00	
812300000	 1848897798380,00	
812300100	 0018533413697,00	
812300200	 0050261215519,00	
812300300	 0001510045945,00	
812300400	 1721164604850,00	
812300500	 0037650395771,00	
812300600	 0019778122598,00	
812400000	 0652471364987,00	
812400100	 0480776478199,00	
812400200	 0012833135650,00	
812400300	 0154965305075,00	
812400400	 0000024380859,00	
812400500	 0003872065204,00	
813000000	 1317787725627,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0279146626623,00	
813200100	 0213008160875,00	
813200101	 0199098318475,00	
813200102	 0008521325447,00	
813200103	 0005388516953,00	
813200104	 0000000000000,00	
813200600	 0003675909066,00	
813200700	 0003895411283,00	
813200800	 0002871083646,00	
813200900	 0004042844377,00	
813201000	 0014611982852,00	
813201100	 0022719684391,00	
813201200	 0014321550133,00	
813300000	 0042100465793,00	
813300100	 0000725393198,00	
813300200	 0001297076392,00	
813300300	 0000379803838,00	
813300400	 0035660903707,00	
813300500	 0000268348728,00	
813300600	 0003768939930,00	
813400000	 0996540633211,00	
813400100	 0464093109698,00	
813400200	 0026852901791,00	
813400300	 0501354783244,00	
813400400	 0000012666806,00	
813400500	 0004227171672,00	
814000000	 0218897494797,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0070739322990,00	
814200100	 0053840393547,00	
814200101	 0047924549315,00	
814200102	 0001762933649,00	
814200103	 0004152910583,00	
814200104	 0000000000000,00	
814200600	 0000380853280,00	
814200700	 0000662840114,00	
814200800	 0000223793514,00	
814200900	 0000872531863,00	
814201000	 0004856790050,00	
814201100	 0005491489695,00	
814201200	 0004410630927,00	
814300000	 0029934937471,00	
814300100	 0001158721975,00	
814300200	 0000161196623,00	
814300300	 0000000000000,00	
814300400	 0028164718874,00	
814300500	 0000311227937,00	
814300600	 0000139072062,00	
814400000	 0118223234336,00	
814400100	 0064118699126,00	
814400200	 0004058152534,00	
814400300	 0049460129828,00	
814400400	 0000021425638,00	
814400500	 0000564827210,00	
821000000	 252822006839561,00	
821100000	 1680591625854,00	
821100100	 0028993406037,00	
821100200	 1651598219817,00	
821200000	 139119459452737,00	
821200100	 110060677691129,00	
821200101	 88816342486171,00	
821200102	 8770130669218,00	
821200103	 11965261883223,00	
821200104	 0508942652517,00	
821200600	 11370101577928,00	
821200700	 0952655171684,00	
821200800	 0358863803872,00	
821200900	 3770702121239,00	
821201000	 9415979863359,00	
821201100	 2928654582196,00	
821201200	 0261824641330,00	
821300000	 81749171020385,00	
821300100	 0381189567487,00	
821300200	 6012819714544,00	
821300300	 10226258933295,00	
821300400	 64127997597247,00	
821300500	 0319051326432,00	
821300600	 0681853881380,00	
821400000	 30272784740585,00	
821400100	 16572787181559,00	
821400200	 1050398994919,00	
821400300	 12562724844670,00	
821400400	 0003759534028,00	
821400500	 0083114185409,00	
831000000	 67111005707096,00	
831100000	 3003050337896,00	
831100100	 1289706557155,00	
831100200	 1713343780741,00	
831200000	 1437775874053,00	
831300000	 0004327062856,00	
831500000	 12359247837037,00	
831500100	 9145083791485,00	
831500200	 3214164045552,00	
831600000	 39405751909414,00	
831600100	 5027647440741,00	
831600200	 0888016360986,00	
831600300	 4104400051402,00	
831600400	 29385688056285,00	
831600500	 0000000000000,00	
831700000	 6926347184409,00	
831700100	 4810379746213,00	
831700200	 0344696532206,00	
831700300	 0735614188720,00	
831700400	 1035656717270,00	
831700500	 0000000000000,00	
831800000	 3933816403039,00	
831800100	 1702051469705,00	
831800200	 2231764933334,00	
831900000	 0040689098392,00	
832000000	 15954616111554,00	
832100000	 0645541980049,00	
832100100	 0257041789418,00	
832100200	 0388500190631,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
