001	BANCO DE CHILE
411000000	 1569739705918,00	
411100000	 1403733026421,00	
411150000	 0002658076087,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0002658076087,00	
411150301	 0002658076087,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0007035116440,00	
411200100	 0007035116440,00	
411200101	 0000000000000,00	
411200102	 0007035116440,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0086850011156,00	
411250100	 0001081250000,00	
411250101	 0001081250000,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0004362582592,00	
411250201	 0000000000000,00	
411250202	 0003943398511,00	
411250203	 0000000000000,00	
411250204	 0000417667831,00	
411250205	 0000000000000,00	
411250206	 0000001516250,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0081406178564,00	
411250301	 0000000000000,00	
411250302	 0081406178564,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0723085424555,00	
411280100	 0545713464733,00	
411280101	 0495235694105,00	
411280102	 0000364689467,00	
411280103	 0000000000000,00	
411280104	 0000012517200,00	
411280105	 0000023024786,00	
411280106	 0050077539175,00	
411280200	 0057447147022,00	
411280201	 0000000000000,00	
411280202	 0036992058616,00	
411280203	 0000190015481,00	
411280204	 0020265072925,00	
411280205	 0000000000000,00	
411280209	 0000000000000,00	
411280300	 0024550016859,00	
411280400	 0004888285265,00	
411280500	 0031838710016,00	
411280501	 0017420406910,00	
411280502	 0014418303106,00	
411280600	 0057193371475,00	
411280601	 0018795374405,00	
411280602	 0038397997070,00	
411280700	 0001356748284,00	
411280701	 0000000000000,00	
411280702	 0000001025476,00	
411280709	 0001355722808,00	
411280900	 0000097680901,00	
411280901	 0000000000000,00	
411280902	 0000097680901,00	
411280990	 0000000000000,00	
411350000	 0179288917694,00	
411350100	 0000073763398,00	
411350200	 0000310370138,00	
411350300	 0000000000000,00	
411350400	 0177174147594,00	
411350401	 0000000000000,00	
411350402	 0177174147594,00	
411350500	 0000000000000,00	
411350900	 0001730636564,00	
411350901	 0001513465310,00	
411350902	 0000217171254,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0378347208747,00	
411380100	 0218320225685,00	
411380200	 0049965084885,00	
411380300	 0110035397120,00	
411380400	 0000026493893,00	
411380900	 0000000007164,00	
411380901	 0000000000000,00	
411380990	 0000000007164,00	
411450000	 0026468271742,00	
411450100	 0000000000000,00	
411450101	 0000000000000,00	
411450102	 0000000000000,00	
411450109	 0000000000000,00	
411450200	 0000000000000,00	
411450201	 0000000000000,00	
411450202	 0000000000000,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0018684032161,00	
411450900	 0007784239581,00	
411700000	 0182664926834,00	
411720000	 0182664926834,00	
411720100	 0113272634828,00	
411720101	 0000237184150,00	
411720102	 0112961401741,00	
411720109	 0000074048937,00	
411720200	 0066217170467,00	
411720201	 0065159352113,00	
411720202	 0001057818354,00	
411720209	 0000000000000,00	
411720300	 0003175121539,00	
411720301	 0000000000000,00	
411720302	 0000950709893,00	
411720303	 0002224411646,00	
411720304	 0000000000000,00	
411720309	 0000000000000,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	-0016658247337,00	
411800100	 0081601831378,00	
411800200	-0098260078715,00	
411800300	 0000000000000,00	
412000000	-0833212060645,00	
412100000	-0834914948044,00	
412150000	-0000744660584,00	
412150100	-0000276371202,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	-0000262247321,00	
412150104	-0000014123881,00	
412150200	 0000000000000,00	
412150201	 0000000000000,00	
412150202	 0000000000000,00	
412150300	 0000000000000,00	
412150500	-0000468289382,00	
412180000	-0677965630488,00	
412180100	-0672423498768,00	
412180200	-0000231064843,00	
412180201	-0000120641034,00	
412180202	-0000110423809,00	
412180300	-0005311066877,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0005311066877,00	
412250000	-0009262087129,00	
412250100	-0000043735327,00	
412250101	 0000000000000,00	
412250102	-0000043735327,00	
412250103	 0000000000000,00	
412250200	 0000000000000,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0009218351802,00	
412250301	-0009218351802,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
412280000	-0028772031782,00	
412280100	-0000744507232,00	
412280110	 0000000000000,00	
412280111	 0000000000000,00	
412280112	 0000000000000,00	
412280113	 0000000000000,00	
412280120	-0000744507232,00	
412280121	-0000041512229,00	
412280122	-0000563225551,00	
412280123	-0000114101503,00	
412280124	 0000000000000,00	
412280129	-0000025667949,00	
412280200	-0017096130109,00	
412280210	-0013632408188,00	
412280211	-0013632408188,00	
412280212	 0000000000000,00	
412280213	 0000000000000,00	
412280220	-0003463721921,00	
412280221	 0000000000000,00	
412280222	-0003460154845,00	
412280223	-0000003567076,00	
412280224	 0000000000000,00	
412280229	 0000000000000,00	
412280300	-0010931394441,00	
412280301	-0010931394441,00	
412280302	 0000000000000,00	
412280400	 0000000000000,00	
412280401	 0000000000000,00	
412280402	 0000000000000,00	
412350000	-0118169150940,00	
412350100	-0000037960779,00	
412350101	-0000026874903,00	
412350102	-0000011085876,00	
412350200	-0118131190161,00	
412350201	-0118131190161,00	
412350203	 0000000000000,00	
412380000	-0000001387121,00	
412380100	-0000001387121,00	
412380101	-0000001387121,00	
412380102	 0000000000000,00	
412380200	 0000000000000,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	 0000000000000,00	
412380300	 0000000000000,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	 0000000000000,00	
412450000	-0000900947946,00	
412500000	-0016388639416,00	
412500100	-0016388639416,00	
412800000	 0018992474761,00	
412800100	 0106757075660,00	
412800200	-0087764600899,00	
412800300	 0000000000000,00	
415000000	 0481262647194,00	
415100000	 0518004809707,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0016083787540,00	
415200100	 0016083787540,00	
415200101	 0000000000000,00	
415200102	 0016083787540,00	
415200109	 0000000000000,00	
415200200	 0000000000000,00	
415200201	 0000000000000,00	
415200202	 0000000000000,00	
415200209	 0000000000000,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
415250401	 0000000000000,00	
415250402	 0000000000000,00	
415250403	 0000000000000,00	
415280000	 0183119488118,00	
415280100	 0157079800598,00	
415280101	 0075999327706,00	
415280102	 0000000000000,00	
415280103	 0000000000000,00	
415280104	 0000014472888,00	
415280105	 0000067737979,00	
415280106	 0080998262025,00	
415280200	 0000000000010,00	
415280201	 0000000000000,00	
415280209	 0000000000010,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	 0000033526765,00	
415280501	 0000028269740,00	
415280502	 0000005257025,00	
415280600	 0024410779110,00	
415280601	 0020441561935,00	
415280602	 0003969217175,00	
415280700	 0001546076723,00	
415280701	 0000000000000,00	
415280702	 0000000858410,00	
415280709	 0001545218313,00	
415280900	 0000049304912,00	
415280901	 0000000000000,00	
415280902	 0000049304784,00	
415280990	 0000000000128,00	
415350000	 0315850604132,00	
415350100	 0000096117780,00	
415350200	 0000371838077,00	
415350300	 0000000000000,00	
415350400	 0311072120908,00	
415350401	 0000000000000,00	
415350402	 0311072120908,00	
415350500	 0000000000000,00	
415350900	 0004310527367,00	
415350901	 0004074037766,00	
415350902	 0000236489601,00	
415350903	 0000000000000,00	
415350990	 0000000000000,00	
415380000	 0001217862909,00	
415380100	 0001217824943,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000000037966,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
415380990	 0000000000000,00	
415450000	 0001733067008,00	
415450100	 0000000000000,00	
415450101	 0000000000000,00	
415450102	 0000000000000,00	
415450109	 0000000000000,00	
415450300	 0000000000000,00	
415450900	 0001733067008,00	
415600000	 0018559459598,00	
415620000	 0018559459598,00	
415620100	 0009655011034,00	
415620101	 0000000000000,00	
415620102	 0009588313019,00	
415620109	 0000066698015,00	
415620200	 0008904448564,00	
415620201	 0007687561661,00	
415620202	 0001216886903,00	
415620209	 0000000000000,00	
415620300	 0000000000000,00	
415620301	 0000000000000,00	
415620302	 0000000000000,00	
415620303	 0000000000000,00	
415620304	 0000000000000,00	
415620309	 0000000000000,00	
415640000	 0000000000000,00	
415640100	 0000000000000,00	
415640101	 0000000000000,00	
415640102	 0000000000000,00	
415640103	 0000000000000,00	
415640104	 0000000000000,00	
415640200	 0000000000000,00	
415800000	-0055301622111,00	
415800100	 0000000000000,00	
415800200	-0055301622111,00	
415800300	 0000000000000,00	
416000000	-0295627722779,00	
416100100	-0267543734034,00	
416150000	-0008030283725,00	
416150100	 0000000000000,00	
416150101	 0000000000000,00	
416150102	 0000000000000,00	
416150103	 0000000000000,00	
416150104	 0000000000000,00	
416150200	 0000000000000,00	
416150201	 0000000000000,00	
416150202	 0000000000000,00	
416150300	 0000000000000,00	
416150500	-0008030283725,00	
416180000	-0059550507504,00	
416180100	-0050243447976,00	
416180200	-0009180756219,00	
416180201	-0004216708451,00	
416180202	-0004964047768,00	
416180300	-0000126303309,00	
416180301	-0000126303309,00	
416180302	 0000000000000,00	
416180390	 0000000000000,00	
416250000	 0000000000000,00	
416250100	 0000000000000,00	
416250101	 0000000000000,00	
416250102	 0000000000000,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
