039	BANCO ITAÚ CHILE
811000000	 1738719898181,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1232900542343,00	
811200100	 1092231158683,00	
811200101	 0892480734569,00	
811200102	 0199434462093,00	
811200103	 0000315962021,00	
811200104	 0000000000000,00	
811200600	 0003847463470,00	
811200700	 0014784520697,00	
811200800	 0000219678887,00	
811200900	 0002342601934,00	
811201000	 0054845680961,00	
811201100	 0060465814488,00	
811201200	 0004163623223,00	
811300000	 0292204794832,00	
811300100	 0001183746713,00	
811300200	 0003441278320,00	
811300300	 0000000000000,00	
811300400	 0268464329469,00	
811300500	 0011227928610,00	
811300600	 0007887511720,00	
811400000	 0213614561006,00	
811400100	 0170063005793,00	
811400200	 0011860986758,00	
811400300	 0029774678837,00	
811400400	 0000025336611,00	
811400500	 0001890553007,00	
812000000	 1128438855218,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0782191950870,00	
812200100	 0682572182761,00	
812200101	 0493899053886,00	
812200102	 0111573246453,00	
812200103	 0077099882422,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000030998886,00	
812200800	 0000192315323,00	
812200900	 0000000000000,00	
812201000	 0058068433105,00	
812201100	 0041328020795,00	
812201200	 0000000000000,00	
812300000	 0245168605878,00	
812300100	 0000889369557,00	
812300200	 0005001208501,00	
812300300	 0000000000000,00	
812300400	 0197016365952,00	
812300500	 0040133668565,00	
812300600	 0002127993303,00	
812400000	 0101078298470,00	
812400100	 0079673757730,00	
812400200	 0000097701732,00	
812400300	 0016773483941,00	
812400400	 0000008006007,00	
812400500	 0004525349060,00	
813000000	 0220532345667,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0071931308251,00	
813200100	 0051035059375,00	
813200101	 0037683485198,00	
813200102	 0012089034052,00	
813200103	 0001262540125,00	
813200104	 0000000000000,00	
813200600	 0010028952380,00	
813200700	 0001456510085,00	
813200800	 0000038066697,00	
813200900	 0000457143100,00	
813201000	 0003486699725,00	
813201100	 0005428876889,00	
813201200	 0000000000000,00	
813300000	 0005403740482,00	
813300100	 0000016552882,00	
813300200	 0000144114630,00	
813300300	 0000000000000,00	
813300400	 0004894797441,00	
813300500	 0000348275529,00	
813300600	 0000000000000,00	
813400000	 0143197296934,00	
813400100	 0099583371860,00	
813400200	 0005722470319,00	
813400300	 0035264343354,00	
813400400	 0000013883313,00	
813400500	 0002613228088,00	
814000000	 0032190785419,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0010546078546,00	
814200100	 0008122620730,00	
814200101	 0005171485769,00	
814200102	 0002951134961,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000144308817,00	
814200800	 0000008646652,00	
814200900	 0000017909440,00	
814201000	 0000496134932,00	
814201100	 0001756457975,00	
814201200	 0000000000000,00	
814300000	 0003159897187,00	
814300100	 0000260918374,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0002594952460,00	
814300500	 0000304026353,00	
814300600	 0000000000000,00	
814400000	 0018484809686,00	
814400100	 0013368064542,00	
814400200	 0001100350022,00	
814400300	 0003784640355,00	
814400400	 0000028981886,00	
814400500	 0000202772881,00	
821000000	 27654789512025,00	
821100000	 0025380925265,00	
821100100	 0000000000000,00	
821100200	 0025380925265,00	
821200000	 16776382261070,00	
821200100	 13048256567781,00	
821200101	 8639076415356,00	
821200102	 3359742711086,00	
821200103	 1049437441339,00	
821200104	 0000000000000,00	
821200600	 1666783602070,00	
821200700	 0118121742293,00	
821200800	 0034872691863,00	
821200900	 0304321837561,00	
821201000	 1027197167542,00	
821201100	 0576828651960,00	
821201200	 0000000000000,00	
821300000	 7357550178858,00	
821300100	 0011444235398,00	
821300200	 0072423766756,00	
821300300	 0000000000000,00	
821300400	 6904286670053,00	
821300500	 0329796871171,00	
821300600	 0039598635480,00	
821400000	 3495476146832,00	
821400100	 2411515258490,00	
821400200	 0159909141773,00	
821400300	 0878084313385,00	
821400400	 0000658359787,00	
821400500	 0045309073397,00	
831000000	 8296517006607,00	
831100000	 0627350445276,00	
831100100	 0176148383612,00	
831100200	 0451202061664,00	
831200000	 0137722109430,00	
831300000	 0007437823589,00	
831500000	 1925306254345,00	
831500100	 1095283955953,00	
831500200	 0830022298392,00	
831600000	 5105715270717,00	
831600100	 0516313836811,00	
831600200	 0134834665249,00	
831600300	 0806277228552,00	
831600400	 3648289540105,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0492985103250,00	
831800100	 0255598165965,00	
831800200	 0237386937285,00	
831900000	 0000000000000,00	
832000000	 1567115684870,00	
832100000	 0016375989483,00	
832100100	 0012265100806,00	
832100200	 0004110888677,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 1048825862069,00	
832500100	 0014458707685,00	
832500200	 0000000000000,00	
832500300	 1034367154384,00	
832700000	 0501913833318,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0501913833318,00	
832700201	 0000000000000,00	
832700202	 0501913833318,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 4769014193600,00	
833050000	 0719274101481,00	
833050100	 0389949377845,00	
833050200	 0329324723636,00	
833100000	 3949705987888,00	
833200000	 0000000000000,00	
833300000	 0100034104231,00	
833300100	 0100034104231,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0124329733014,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0007706346306,00	
833500500	 0000000000000,00	
833500600	 0116623386708,00	
833500700	 0000000000000,00	
841000000	 3698047293386,00	
841000100	 0105506325758,00	
841000200	 0097227641460,00	
841000300	 0012485779009,00	
841000400	 0000000000000,00	
841000500	 0117912200000,00	
841000600	 3364915347159,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0003450640843,00	
844200000	 0000652009683,00	
844300000	 0000902365703,00	
844400000	 0295222813478,00	
844400100	 0012697422000,00	
844400200	 0282525391478,00	
844500000	 2662434751451,00	
844500100	 2626385701451,00	
844500200	 0000000000000,00	
844500300	 0036049050000,00	
844600000	 0000000000000,00	
845250000	 0439868783397,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000796733771,00	
845250400	 0004326314384,00	
845250500	 0345598830131,00	
845250501	 0206237823775,00	
845250502	 0006404451189,00	
845250503	 0015179929663,00	
845250504	 0013366351471,00	
845250505	 0000000000000,00	
845250509	 0104410274033,00	
845250600	 0089146905111,00	
845250601	 0055559280581,00	
845250602	 0014305886291,00	
845250603	 0000000000000,00	
845250609	 0019281738239,00	
845500000	 0165919408808,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0042948387127,00	
845500400	 0000000000000,00	
845500500	 0122971021681,00	
845500501	 0006315056192,00	
845500502	 0019373345639,00	
845500503	 0000546277164,00	
845500504	 0000000000000,00	
845500509	 0096736342686,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0004310056385,00	
847100000	 0007075910051,00	
847100100	 0000097149626,00	
847100200	 0004482581287,00	
847100300	 0000750263068,00	
847100400	 0000003180939,00	
847100500	 0000120230982,00	
847100600	 0000820652884,00	
847100700	 0000801851265,00	
847200000	 0002765853666,00	
847200100	 0000000000000,00	
847200200	 0002147255834,00	
847200300	 0000183173727,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000391044637,00	
847200700	 0000044379468,00	
851000000	 12374995571237,00	
851100000	 0025380925265,00	
851200000	 12349614645972,00	
852000000	 0604004042910,00	
852100000	 0000000000000,00	
852200000	 0604004042910,00	
853000000	 0775242896913,00	
853100000	 0000000000000,00	
853200000	 0775242896913,00	
854000000	 12655334282939,00	
854200000	 2547382568849,00	
854300000	 7043951015139,00	
854400000	 3064000698951,00	
855000000	 0830965443620,00	
855200000	 0325146087782,00	
855300000	 0292204794832,00	
855400000	 0213614561006,00	
856050000	 3181859114467,00	
856050100	 0612936061236,00	
856050200	 0135793726844,00	
856050300	 0007437823589,00	
856050400	 1784674932014,00	
856050500	 0000000000000,00	
856050600	 0405484295487,00	
856050800	 0235532275297,00	
856050900	 0000000000000,00	
856150000	 0055813742964,00	
856150100	 0000000000000,00	
856150200	 0000000000000,00	
856150300	 0000000000000,00	
856150400	 0049903420863,00	
856150500	 0000000000000,00	
856150600	 0005910322101,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0014932493838,00	
856250100	 0012187549374,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0000679914644,00	
856250500	 0000000000000,00	
856250600	 0000210367832,00	
856250800	 0001854661988,00	
856250900	 0000000000000,00	
856350000	 0585126798766,00	
856350100	 0002226834666,00	
856350200	 0001928382586,00	
856350300	 0000000000000,00	
856350400	 0087898085242,00	
856350500	 0000000000000,00	
856350600	 0238142752598,00	
856350700	 0254930743674,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0004218087915,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0002149901582,00	
856450500	 0000000000000,00	
856450600	 0001400764042,00	
