014	SCOTIABANK CHILE
411000000	 1401737155039,00	
411100000	 1330804605584,00	
411150000	 0008532336035,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0008532336035,00	
411150301	 0008532336035,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0000000000000,00	
411200100	 0000000000000,00	
411200101	 0000000000000,00	
411200102	 0000000000000,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0000000000000,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0000000000000,00	
411250000	 0008516949919,00	
411250100	 0000562500000,00	
411250101	 0000562500000,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0000554190270,00	
411250201	 0000000000000,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000554190270,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0007400259649,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0007400259649,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 0649522771878,00	
411280100	 0524286919477,00	
411280101	 0509441931701,00	
411280102	 0013432407175,00	
411280103	 0001248455993,00	
411280104	 0000125516019,00	
411280105	 0000017000942,00	
411280106	 0000021607647,00	
411280200	 0056339886953,00	
411280201	 0000000000000,00	
411280202	 0040961319643,00	
411280203	 0000075041749,00	
411280204	 0015285749403,00	
411280205	 0000017776158,00	
411280209	 0000000000000,00	
411280300	 0007718046771,00	
411280400	 0000891563296,00	
411280500	 0015633623736,00	
411280501	 0009050761033,00	
411280502	 0006582862703,00	
411280600	 0028170314692,00	
411280601	 0004675283280,00	
411280602	 0023495031412,00	
411280700	 0016459501461,00	
411280701	 0016375496435,00	
411280702	 0000008404589,00	
411280709	 0000075600437,00	
411280900	 0000022915492,00	
411280901	 0000000000000,00	
411280902	 0000000000000,00	
411280990	 0000022915492,00	
411350000	 0263276080625,00	
411350100	 0002411967342,00	
411350200	 0001354682803,00	
411350300	 0000000000000,00	
411350400	 0255739212092,00	
411350401	 0019243102101,00	
411350402	 0236496109991,00	
411350500	 0001917369391,00	
411350900	 0001852848997,00	
411350901	 0001852848997,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0375894922600,00	
411380100	 0101422201043,00	
411380200	 0018068233319,00	
411380300	 0256327790146,00	
411380400	 0000000000000,00	
411380900	 0000076698092,00	
411380901	 0000076698092,00	
411380990	 0000000000000,00	
411450000	 0025061544527,00	
411450100	 0000023539550,00	
411450101	 0000000000000,00	
411450102	 0000023539550,00	
411450109	 0000000000000,00	
411450200	 0000000000000,00	
411450201	 0000000000000,00	
411450202	 0000000000000,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0006311686221,00	
411450900	 0018726318756,00	
411700000	 0098325999650,00	
411720000	 0098325999650,00	
411720100	 0098325999650,00	
411720101	 0071288408785,00	
411720102	 0026856606691,00	
411720109	 0000180984174,00	
411720200	 0000000000000,00	
411720201	 0000000000000,00	
411720202	 0000000000000,00	
411720209	 0000000000000,00	
411720300	 0000000000000,00	
411720301	 0000000000000,00	
411720302	 0000000000000,00	
411720303	 0000000000000,00	
411720304	 0000000000000,00	
411720309	 0000000000000,00	
411740000	 0000000000000,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0000000000000,00	
411800000	-0027393450195,00	
411800100	 0012505268459,00	
411800200	-0068538742692,00	
411800300	 0028640024038,00	
412000000	-0967290132196,00	
412100000	-0944787694575,00	
412150000	-0024047227719,00	
412150100	-0023763759249,00	
412150101	 0000000000000,00	
412150102	 0000000000000,00	
412150103	-0023574245410,00	
412150104	-0000189513839,00	
412150200	-0000283468470,00	
412150201	 0000000000000,00	
412150202	-0000283468470,00	
412150300	 0000000000000,00	
412150500	 0000000000000,00	
412180000	-0727041714188,00	
412180100	-0704682410097,00	
412180200	-0000122692565,00	
412180201	-0000099862147,00	
412180202	-0000022830418,00	
412180300	-0022236611526,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0022236611526,00	
412250000	-0010757572344,00	
412250100	 0000000000000,00	
412250101	 0000000000000,00	
412250102	 0000000000000,00	
412250103	 0000000000000,00	
412250200	 0000000000000,00	
412250201	 0000000000000,00	
412250202	 0000000000000,00	
412250203	 0000000000000,00	
412250300	-0010757572344,00	
412250301	-0010757572344,00	
412250302	 0000000000000,00	
412250400	 0000000000000,00	
412250401	 0000000000000,00	
412250402	 0000000000000,00	
412280000	-0082986014609,00	
412280100	-0009642262160,00	
412280110	 0000000000000,00	
412280111	 0000000000000,00	
412280112	 0000000000000,00	
412280113	 0000000000000,00	
412280120	-0009642262160,00	
412280121	-0009642262160,00	
412280122	 0000000000000,00	
412280123	 0000000000000,00	
412280124	 0000000000000,00	
412280129	 0000000000000,00	
412280200	-0073343752449,00	
412280210	-0044749726867,00	
412280211	-0029490294001,00	
412280212	-0015259432866,00	
412280213	 0000000000000,00	
412280220	-0028594025582,00	
412280221	 0000000000000,00	
412280222	 0000000000000,00	
412280223	 0000000000000,00	
412280224	 0000000000000,00	
412280229	-0028594025582,00	
412280300	 0000000000000,00	
412280301	 0000000000000,00	
412280302	 0000000000000,00	
412280400	 0000000000000,00	
412280401	 0000000000000,00	
412280402	 0000000000000,00	
412350000	-0099955165715,00	
412350100	-0002595502685,00	
412350101	-0002461645733,00	
412350102	-0000133856952,00	
412350200	-0097359663030,00	
412350201	-0097359663030,00	
412350203	 0000000000000,00	
412380000	 0000000000000,00	
412380100	 0000000000000,00	
412380101	 0000000000000,00	
412380102	 0000000000000,00	
412380200	 0000000000000,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	 0000000000000,00	
412380300	 0000000000000,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	 0000000000000,00	
412450000	-0002602136997,00	
412500000	-0022204070074,00	
412500100	-0022204070074,00	
412800000	 0002303769450,00	
412800100	 0009776737007,00	
412800200	-0002597072158,00	
412800300	-0004875895399,00	
415000000	 0452198265912,00	
415100000	 0462705421609,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
