014	SCOTIABANK CHILE
811000000	 1458690313706,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0715693568683,00	
811200100	 0564359083737,00	
811200101	 0564043584934,00	
811200102	 0000000000000,00	
811200103	 0000315498803,00	
811200104	 0000000000000,00	
811200600	 0021391301657,00	
811200700	 0007208893888,00	
811200800	 0000411737755,00	
811200900	 0001796786888,00	
811201000	 0024861370411,00	
811201100	 0091995226696,00	
811201200	 0003669167651,00	
811300000	 0367501170225,00	
811300100	 0008648908483,00	
811300200	 0002498010045,00	
811300300	 0000000000000,00	
811300400	 0348801090738,00	
811300500	 0003109530493,00	
811300600	 0004443630466,00	
811400000	 0375495574798,00	
811400100	 0144640138726,00	
811400200	 0007500540939,00	
811400300	 0223354348391,00	
811400400	 0000000000000,00	
811400500	 0000000546742,00	
812000000	 0706805138848,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0302329914045,00	
812200100	 0161793339036,00	
812200101	 0161771000775,00	
812200102	 0000000000000,00	
812200103	 0000022338261,00	
812200104	 0000000000000,00	
812200600	 0040172091738,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0010550106667,00	
812201100	 0089814376604,00	
812201200	 0000000000000,00	
812300000	 0350771269881,00	
812300100	 0000019865464,00	
812300200	 0000153362085,00	
812300300	 0000000000000,00	
812300400	 0348987456088,00	
812300500	 0001605334559,00	
812300600	 0000005251685,00	
812400000	 0053703954922,00	
812400100	 0050773083920,00	
812400200	 0000000000000,00	
812400300	 0002930871002,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0246930925317,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0038822523847,00	
813200100	 0020226982036,00	
813200101	 0020205314479,00	
813200102	 0000000000000,00	
813200103	 0000021667557,00	
813200104	 0000000000000,00	
813200600	 0000430275681,00	
813200700	 0001004360691,00	
813200800	 0000000000000,00	
813200900	 0000051798197,00	
813201000	 0003430614316,00	
813201100	 0013005830429,00	
813201200	 0000672662497,00	
813300000	 0005549670177,00	
813300100	 0000064896737,00	
813300200	 0000011828232,00	
813300300	 0000000000000,00	
813300400	 0005394535718,00	
813300500	 0000059338301,00	
813300600	 0000019071189,00	
813400000	 0202558731293,00	
813400100	 0062654632573,00	
813400200	 0003490919793,00	
813400300	 0136411493721,00	
813400400	 0000000000000,00	
813400500	 0000001685206,00	
814000000	 0052569015013,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0012896209634,00	
814200100	 0004388217664,00	
814200101	 0004348434399,00	
814200102	 0000000000000,00	
814200103	 0000039783265,00	
814200104	 0000000000000,00	
814200600	 0000125004458,00	
814200700	 0000085287338,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0002380681130,00	
814201100	 0005537492022,00	
814201200	 0000379527022,00	
814300000	 0005344278161,00	
814300100	 0000372178581,00	
814300200	 0000048713590,00	
814300300	 0000000000000,00	
814300400	 0004649162903,00	
814300500	 0000236258893,00	
814300600	 0000037964194,00	
814400000	 0034328527218,00	
814400100	 0022628485558,00	
814400200	 0000700226272,00	
814400300	 0010999599045,00	
814400400	 0000000000000,00	
814400500	 0000000216343,00	
821000000	 33041531943797,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
821200000	 14985493144550,00	
821200100	 10984340476722,00	
821200101	 10933652338658,00	
821200102	 0000884368855,00	
821200103	 0005456153854,00	
821200104	 0044347615355,00	
821200600	 2066699626302,00	
821200700	 0070828744515,00	
821200800	 0013231374036,00	
821200900	 0293884379850,00	
821201000	 0843388119125,00	
821201100	 0708641212493,00	
821201200	 0004479211507,00	
821300000	 13832240524984,00	
821300100	 0078749495750,00	
821300200	 0035492658392,00	
821300300	 0000000000000,00	
821300400	 13602504741423,00	
821300500	 0036899194334,00	
821300600	 0078594435085,00	
821400000	 4223798274263,00	
821400100	 1786705124306,00	
821400200	 0089671605034,00	
821400300	 2347067464390,00	
821400400	 0000000000000,00	
821400500	 0000354080533,00	
831000000	 7767041867702,00	
831100000	 0667740483836,00	
831100100	 0284747922962,00	
831100200	 0382992560874,00	
831200000	 0114994686731,00	
831300000	 0000000000000,00	
831500000	 0636910585013,00	
831500100	 0479272492265,00	
831500200	 0157638092748,00	
831600000	 6244318774248,00	
831600100	 0703903610583,00	
831600200	 0065705057642,00	
831600300	 0399403057380,00	
831600400	 5075307048643,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0103077337874,00	
