Descriptores de cuentas usados en reporte MC1

Periodo: Año 2023 - Mes: Septiembre

CUENTA	GLOSA
811000000	CRÉDITOS EN CARTERA DETERIORADA
811100000	     Adeudado por bancos
811100100	          Bancos del país
811100200	          Bancos del exterior
811200000	     Colocaciones comerciales
811200100	          Préstamos comerciales
811200101	               Préstamos comerciales en el país
811200102	               Préstamos comerciales en el exterior
811200103	               Préstamos hipotecarios para fines generales
811200104	               Créditos para infraestructura escolar Ley N° 20.845
811200600	          Créditos de comercio exterior
811200700	          Deudores en cuentas corrientes
811200800	          Deudores por tarjetas de crédito
811200900	          Operaciones de factoraje
811201000	          Operaciones de leasing comerciales
811201100	          Préstamos estudiantiles
811201200	          Otros créditos y cuentas por cobrar
811300000	     Colocaciones para vivienda
811300100	          Préstamos con letras de crédito
811300200	          Préstamos con mutuos hipotecarios endosables
811300300	          Préstamos con mutuos financiados con bonos hipotecarios
811300400	          Otros créditos con mutuos para vivienda
811300500	          Operaciones de leasing para vivienda
811300600	          Otros créditos y cuentas por cobrar
811400000	     Colocaciones de consumo
811400100	          Créditos de consumo en cuotas
811400200	          Deudores en cuentas corrientes
811400300	          Deudores por tarjetas de crédito
811400400	          Operaciones de leasing de consumo
811400500	          Otros créditos y cuentas por cobrar
812000000	CRÉDITOS CON DEVENGO SUSPENDIDO
812100000	     Adeudado por bancos
812100100	          Bancos del país
812100200	          Bancos del exterior
812200000	     Colocaciones comerciales
812200100	          Préstamos comerciales
812200101	               Préstamos comerciales en el país
812200102	               Préstamos comerciales en el exterior
812200103	               Préstamos hipotecarios para fines generales
812200104	               Créditos para infraestructura escolar Ley N° 20.845
812200600	          Créditos de comercio exterior
812200700	          Deudores en cuentas corrientes
812200800	          Deudores por tarjetas de crédito
812200900	          Operaciones de factoraje
812201000	          Operaciones de leasing comerciales
812201100	          Préstamos estudiantiles
812201200	          Otros créditos y cuentas por cobrar
812300000	     Colocaciones para vivienda
812300100	          Préstamos con letras de crédito
812300200	          Préstamos con mutuos hipotecarios endosables
812300300	          Préstamos con mutuos financiados con bonos hipotecarios
812300400	          Otros créditos con mutuos para vivienda
812300500	          Operaciones de leasing para vivienda
812300600	          Otros créditos y cuentas por cobrar
812400000	     Colocaciones de consumo
812400100	          Créditos de consumo en cuotas
812400200	          Deudores en cuentas corrientes
812400300	          Deudores por tarjetas de crédito
812400400	          Operaciones de leasing de consumo
812400500	          Otros créditos y cuentas por cobrar
813000000	CASTIGOS DE CRÉDITOS
813100000	     Adeudado por bancos
813100100	          Bancos del país
813100200	          Bancos del exterior
813200000	     Colocaciones comerciales
813200100	          Préstamos comerciales
813200101	               Préstamos comerciales en el país
813200102	               Préstamos comerciales en el exterior
813200103	               Préstamos hipotecarios para fines generales
813200104	               Créditos para infraestructura escolar Ley N° 20.845
813200600	          Créditos de comercio exterior
813200700	          Deudores en cuentas corrientes
813200800	          Deudores por tarjetas de crédito
