012	BANCO DEL ESTADO DE CHILE
811000000	 3352193400493,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 1389720816531,00	
811200100	 1086092408744,00	
811200101	 0995312151574,00	
811200102	 0000000000000,00	
811200103	 0090780257170,00	
811200104	 0000000000000,00	
811200600	 0011022895421,00	
811200700	 0011334268656,00	
811200800	 0001655069315,00	
811200900	 0000678761762,00	
811201000	 0074394761328,00	
811201100	 0196593162886,00	
811201200	 0007949488419,00	
811300000	 1521174342512,00	
811300100	 0030643771219,00	
811300200	 0070562144907,00	
811300300	 0000000000000,00	
811300400	 1395387391305,00	
811300500	 0000000000000,00	
811300600	 0024581035081,00	
811400000	 0441298241450,00	
811400100	 0391034592340,00	
811400200	 0018236186635,00	
811400300	 0032027462475,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 1529356638523,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0683554736830,00	
812200100	 0463306240178,00	
812200101	 0424565064887,00	
812200102	 0000000000000,00	
812200103	 0038741175291,00	
812200104	 0000000000000,00	
812200600	 0008668352222,00	
812200700	 0006524853856,00	
812200800	 0001251299153,00	
812200900	 0000146001375,00	
812201000	 0028371425525,00	
812201100	 0162822651562,00	
812201200	 0012463912959,00	
812300000	 0762614090943,00	
812300100	 0016825866821,00	
812300200	 0040330128203,00	
812300300	 0000000000000,00	
812300400	 0693738425509,00	
812300500	 0000000000000,00	
812300600	 0011719670410,00	
812400000	 0083187810750,00	
812400100	 0069247829580,00	
812400200	 0003891171704,00	
812400300	 0010048809466,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0337259578188,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0121959457135,00	
813200100	 0090092374024,00	
813200101	 0090092374024,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0001889073527,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000000000000,00	
813201000	 0005387851224,00	
813201100	 0015243813293,00	
813201200	 0009346345067,00	
813300000	 0030933329104,00	
813300100	 0001275094375,00	
813300200	 0001373039714,00	
813300300	 0000000000000,00	
813300400	 0021525314348,00	
813300500	 0000000000000,00	
813300600	 0006759880667,00	
813400000	 0184366791949,00	
813400100	 0145299444898,00	
813400200	 0008455249359,00	
813400300	 0030612097692,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0072935826820,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0033663100989,00	
814200100	 0028502409525,00	
814200101	 0028502409525,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000314266129,00	
814200700	 0000121217465,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0001403969782,00	
814201100	 0000000000000,00	
814201200	 0003321238088,00	
814300000	 0016712865666,00	
814300100	 0000534222795,00	
814300200	 0000359450753,00	
814300300	 0000000000000,00	
814300400	 0015633467148,00	
814300500	 0000000000000,00	
814300600	 0000185724970,00	
814400000	 0022559860165,00	
814400100	 0014746735674,00	
814400200	 0002092138279,00	
814400300	 0005720986212,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 35315899580309,00	
821100000	 0950335410475,00	
821100100	 0000000000000,00	
821100200	 0950335410475,00	
821200000	 17328033190354,00	
821200100	 13278750252698,00	
821200101	 12156448462951,00	
821200102	 0017469522319,00	
821200103	 0789126860404,00	
821200104	 0315705407024,00	
821200600	 1233666361073,00	
821200700	 0177179163295,00	
821200800	 0009019128215,00	
821200900	 0195193658704,00	
821201000	 1038415640055,00	
821201100	 1382981241648,00	
821201200	 0012827744666,00	
821300000	 14419632906466,00	
821300100	 0189868577415,00	
821300200	 0441476349534,00	
821300300	 0000000000000,00	
821300400	 13616806402984,00	
821300500	 0000000000000,00	
821300600	 0171481576533,00	
821400000	 2617898073014,00	
821400100	 2056772526237,00	
821400200	 0107664093927,00	
821400300	 0453461452850,00	
821400400	 0000000000000,00	
821400500	 0000000000000,00	
831000000	 7323714245739,00	
831100000	 0648096370075,00	
831100100	 0555689625582,00	
831100200	 0092406744493,00	
831200000	 0455886079482,00	
831300000	 0000000000000,00	
831500000	 1704155211349,00	
831500100	 1413392998081,00	
831500200	 0290762213268,00	
831600000	 0000000000000,00	
831600100	 0000000000000,00	
831600200	 0000000000000,00	
831600300	 0000000000000,00	
831600400	 0000000000000,00	
831600500	 0000000000000,00	
831700000	 2052999136187,00	
831700100	 0649271683807,00	
831700200	 0015870510312,00	
831700300	 0321814789158,00	
831700400	 1066042152910,00	
831700500	 0000000000000,00	
831800000	 2462577448646,00	
831800100	 1942211068309,00	
831800200	 0520366380337,00	
831900000	 0000000000000,00	
832000000	 0121440802241,00	
832100000	 0054128577319,00	
832100100	 0009626128423,00	
832100200	 0044502448896,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0000000000000,00	
832500100	 0000000000000,00	
832500200	 0000000000000,00	
832500300	 0000000000000,00	
832700000	 0067312224922,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0067312224922,00	
832700201	 0000000000000,00	
832700202	 0067312224922,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 12672864378034,00	
833050000	 4242488087278,00	
833050100	 0000000000000,00	
833050200	 4242488087278,00	
833100000	 0653002083910,00	
833200000	 0005236500000,00	
833300000	 7772137706846,00	
833300100	 7771324860448,00	
833300200	 0000812846398,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0000000000000,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0000000000000,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 0099440960688,00	
841000100	 0064540960688,00	
841000200	 0034900000000,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0001536937226,00	
844200000	 0036640705535,00	
844300000	 0164033245109,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 2219672270000,00	
844500100	 1964955780000,00	
844500200	 0000000000000,00	
844500300	 0254716490000,00	
844600000	 0000422822430,00	
845250000	 1904840441619,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 1901064974635,00	
845250501	 1326548437797,00	
845250502	 0001319203431,00	
845250503	 0174223350433,00	
845250504	 0110081295651,00	
845250505	 0000000000000,00	
845250509	 0288892687323,00	
845250600	 0003775466984,00	
845250601	 0000000000000,00	
845250602	 0003775466984,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0075643317830,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0016362737122,00	
845500400	 0000000000000,00	
845500500	 0059280580708,00	
845500501	 0001130917005,00	
845500502	 0000000000000,00	
845500503	 0000016978385,00	
845500504	 0000000000000,00	
845500509	 0058132685318,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0080467043009,00	
847100000	 0090146170308,00	
847100100	 0000344900274,00	
847100200	 0083522220750,00	
847100300	 0002268643245,00	
847100400	 0000286335945,00	
847100500	 0000195355722,00	
847100600	 0000887916870,00	
847100700	 0002640797502,00	
847200000	 0009679127299,00	
847200100	 0000000000000,00	
847200200	 0009055063190,00	
847200300	 0000538063902,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000006823506,00	
847200700	 0000079176701,00	
851000000	 11352248327078,00	
851100000	 0950335410475,00	
851200000	 10401912916603,00	
852000000	 0617383919474,00	
852100000	 0000000000000,00	
852200000	 0617383919474,00	
853000000	 0450153951863,00	
853100000	 0000000000000,00	
853200000	 0450153951863,00	
854000000	 20043991401890,00	
854200000	 4985503979196,00	
854300000	 12882415257679,00	
854400000	 2176072165015,00	
855000000	 2818397771782,00	
855200000	 0855925187820,00	
855300000	 1521174342512,00	
855400000	 0441298241450,00	
856050000	 3686000280796,00	
856050100	 0645117356927,00	
856050200	 0448104301964,00	
856050300	 0000000000000,00	
856050400	 1543022412057,00	
856050500	 0563178545569,00	
856050600	 0000000000000,00	
856050800	 0486577664279,00	
856050900	 0000000000000,00	
856150000	 0122183688915,00	
856150100	 0002979013148,00	
856150200	 0002178808856,00	
856150300	 0000000000000,00	
856150400	 0103810933387,00	
856150500	 0001657781236,00	
856150600	 0000000000000,00	
856150800	 0011557152288,00	
856150900	 0000000000000,00	
856250000	 0008356922061,00	
856250100	 0000000000000,00	
856250200	 0000092659350,00	
856250300	 0000000000000,00	
856250400	 0008155976350,00	
856250500	 0000035510221,00	
856250600	 0000000000000,00	
856250800	 0000072776140,00	
856250900	 0000000000000,00	
856350000	 2100255844443,00	
856350100	 0000000000000,00	
856350200	 0005510309312,00	
856350300	 0000000000000,00	
856350400	 0048122480618,00	
856350500	 0098895259949,00	
856350600	 0000000000000,00	
856350700	 1925598952388,00	
856350800	 0022128842176,00	
856350900	 0000000000000,00	
856450000	 0019060567456,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0001043408937,00	
856450500	 0001375097144,00	
856450600	 0000000000000,00	
856450700	 0016612115921,00	
856450800	 0000029945454,00	
856450900	 0000000000000,00	
856550000	 1344268171762,00	
856550100	 0282588337176,00	
856550200	 1026601633987,00	
856550300	 0035078200599,00	
856550400	 0000000000000,00	
856550500	 0000000000000,00	
856550600	 0000000000000,00	
856650000	 0043588770306,00	
856650100	 0003723883384,00	
856650200	 0039440518923,00	
856650300	 0000424367999,00	
856650400	 0000000000000,00	
856650500	 0000000000000,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
