053	BANCO RIPLEY
811000000	 0076917296230,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0000029154156,00	
811200100	 0000006548857,00	
811200101	 0000006548857,00	
811200102	 0000000000000,00	
811200103	 0000000000000,00	
811200104	 0000000000000,00	
811200600	 0000000000000,00	
811200700	 0000000000000,00	
811200800	 0000000000000,00	
811200900	 0000000000000,00	
811201000	 0000000000000,00	
811201100	 0000022605299,00	
811201200	 0000000000000,00	
811300000	 0002883666857,00	
811300100	 0002285533286,00	
811300200	 0000000369371,00	
811300300	 0000000000000,00	
811300400	 0000000000000,00	
811300500	 0000000000000,00	
811300600	 0000597764200,00	
811400000	 0074004475217,00	
811400100	 0007168911761,00	
811400200	 0000006246505,00	
811400300	 0066829316951,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0079151778478,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0000021769130,00	
812200100	 0000000000000,00	
812200101	 0000000000000,00	
812200102	 0000000000000,00	
812200103	 0000000000000,00	
812200104	 0000000000000,00	
812200600	 0000000000000,00	
812200700	 0000000000000,00	
812200800	 0000000000000,00	
812200900	 0000000000000,00	
812201000	 0000000000000,00	
812201100	 0000021769130,00	
812201200	 0000000000000,00	
812300000	 0002063620525,00	
812300100	 0000495323292,00	
812300200	 0000000000000,00	
812300300	 0000000000000,00	
812300400	 0000000000000,00	
812300500	 0000000000000,00	
812300600	 0001568297233,00	
812400000	 0077066388823,00	
812400100	 0003590345508,00	
812400200	 0000000000000,00	
812400300	 0073476043315,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0117562440576,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0000013209911,00	
813200100	 0000000000000,00	
813200101	 0000000000000,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000000000000,00	
813200800	 0000000000000,00	
813200900	 0000000000000,00	
813201000	 0000000000000,00	
813201100	 0000013209911,00	
813201200	 0000000000000,00	
813300000	 0000030778256,00	
813300100	 0000030778256,00	
813300200	 0000000000000,00	
813300300	 0000000000000,00	
813300400	 0000000000000,00	
813300500	 0000000000000,00	
813300600	 0000000000000,00	
813400000	 0117518452409,00	
813400100	 0006936392593,00	
813400200	 0000000000000,00	
813400300	 0110582059816,00	
813400400	 0000000000000,00	
813400500	 0000000000000,00	
814000000	 0017870067372,00	
814100000	 0000000000000,00	
814100100	 0000000000000,00	
814100200	 0000000000000,00	
814200000	 0000001161527,00	
814200100	 0000000000000,00	
814200101	 0000000000000,00	
814200102	 0000000000000,00	
814200103	 0000000000000,00	
814200104	 0000000000000,00	
814200600	 0000000000000,00	
814200700	 0000000000000,00	
814200800	 0000000000000,00	
814200900	 0000000000000,00	
814201000	 0000000000000,00	
814201100	 0000001161527,00	
814201200	 0000000000000,00	
814300000	 0000003434397,00	
814300100	 0000003434397,00	
814300200	 0000000000000,00	
814300300	 0000000000000,00	
814300400	 0000000000000,00	
814300500	 0000000000000,00	
814300600	 0000000000000,00	
814400000	 0017865471448,00	
814400100	 0001225158033,00	
814400200	 0000000000000,00	
814400300	 0016640313415,00	
814400400	 0000000000000,00	
814400500	 0000000000000,00	
821000000	 0867913623952,00	
821100000	 0000000000000,00	
821100100	 0000000000000,00	
821100200	 0000000000000,00	
