039	BANCO ITAÚ CHILE
411000000	 2411872006199,00	
411100000	 2001640768298,00	
411150000	 0015152245873,00	
411150100	 0000000000000,00	
411150101	 0000000000000,00	
411150102	 0000000000000,00	
411150103	 0000000000000,00	
411150200	 0005985496735,00	
411150201	 0000351952911,00	
411150202	 0005633543824,00	
411150203	 0000000000000,00	
411150300	 0006909229100,00	
411150301	 0006909229100,00	
411150302	 0000000000000,00	
411150400	 0002257520038,00	
411150401	 0002257520038,00	
411150402	 0000000000000,00	
411200000	 0035878758535,00	
411200100	 0001060917768,00	
411200101	 0000000000000,00	
411200102	 0001060917768,00	
411200109	 0000000000000,00	
411200200	 0000000000000,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0000000000000,00	
411200300	 0034817840767,00	
411200301	 0000000000000,00	
411200302	 0000000000000,00	
411200303	 0002073435773,00	
411200304	 0000000000000,00	
411200309	 0032744404994,00	
411250000	 0002855841403,00	
411250100	 0000046111110,00	
411250101	 0000046111110,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0002809730293,00	
411250201	 0002761049293,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0000000000000,00	
411250207	 0000000000000,00	
411250208	 0000048681000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000000000000,00	
411250401	 0000000000000,00	
411250402	 0000000000000,00	
411250409	 0000000000000,00	
411280000	 1200130331894,00	
411280100	 0951656933621,00	
411280101	 0572881364741,00	
411280102	 0349971568269,00	
411280103	 0000000000000,00	
411280104	 0000001711678,00	
411280105	 0000000318076,00	
411280106	 0028801970857,00	
411280200	 0098517654753,00	
411280201	 0054062663512,00	
411280202	 0002539217862,00	
411280203	 0035188802320,00	
411280204	 0000000000000,00	
411280205	 0000000000000,00	
411280209	 0006726971059,00	
411280300	 0021861680173,00	
411280400	 0000669635253,00	
411280500	 0031361600963,00	
411280501	 0020234745989,00	
411280502	 0011126854974,00	
411280600	 0075739309906,00	
411280601	 0010158085434,00	
411280602	 0065581224472,00	
411280700	 0020323517225,00	
411280701	 0019667058320,00	
411280702	 0000656458905,00	
411280709	 0000000000000,00	
411280900	 0000000000000,00	
411280901	 0000000000000,00	
411280902	 0000000000000,00	
411280990	 0000000000000,00	
411350000	 0214330453068,00	
411350100	 0000485727790,00	
411350200	 0002782334705,00	
411350300	 0000000000000,00	
411350400	 0187732522022,00	
411350401	 0157195239632,00	
411350402	 0030537282390,00	
411350500	 0023315279525,00	
411350900	 0000014589026,00	
411350901	 0000014589026,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000000000000,00	
411380000	 0436281250041,00	
411380100	 0278137288851,00	
411380200	 0042333509597,00	
411380300	 0115487981933,00	
411380400	 0000050725120,00	
411380900	 0000271744540,00	
411380901	 0000271744540,00	
411380990	 0000000000000,00	
411450000	 0097011887484,00	
411450100	 0035104787397,00	
411450101	 0000000000000,00	
411450102	 0035104787397,00	
411450109	 0000000000000,00	
411450200	 0000124152830,00	
411450201	 0000000000000,00	
411450202	 0000124152830,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0042988909266,00	
411450900	 0018794037991,00	
411700000	 0317314849251,00	
411720000	 0311890705606,00	
411720100	 0293059532255,00	
411720101	 0190165850512,00	
411720102	 0100668928051,00	
411720109	 0002224753692,00	
411720200	 0004155556310,00	
411720201	 0001677228023,00	
411720202	 0000000000000,00	
411720209	 0002478328287,00	
411720300	 0014675617041,00	
411720301	 0000000000000,00	
411720302	 0009518737105,00	
411720303	 0000057585940,00	
411720304	 0000138007645,00	
411720309	 0004961286351,00	
411740000	 0005424143645,00	
411740100	 0000000000000,00	
411740101	 0000000000000,00	
411740102	 0000000000000,00	
411740103	 0000000000000,00	
411740104	 0000000000000,00	
411740200	 0005424143645,00	
411800000	 0092916388650,00	
411800100	 0139656095085,00	
411800200	-0047919359832,00	
411800300	 0001179653397,00	
412000000	-1531107467800,00	
412100000	-1464094562116,00	
412150000	-0100992862488,00	
412150100	-0020381410947,00	
412150101	 0000000000000,00	
412150102	-0002577481817,00	
412150103	-0017803456036,00	
412150104	-0000000473094,00	
412150200	-0080065512666,00	
412150201	 0000000000000,00	
412150202	-0080065512666,00	
412150300	 0000000000000,00	
412150500	-0000545938875,00	
412180000	-0991937105957,00	
412180100	-0991922661388,00	
412180200	-0000000002090,00	
412180201	-0000000002090,00	
412180202	 0000000000000,00	
412180300	-0000014442479,00	
412180301	 0000000000000,00	
412180302	 0000000000000,00	
412180390	-0000014442479,00	
412250000	-0036823397602,00	
412250100	-0009505667476,00	
412250101	-0009504070254,00	
412250102	-0000001597222,00	
412250103	 0000000000000,00	
412250200	-0020121515125,00	
412250201	-0000121129360,00	
412250202	-0020000385765,00	
412250203	 0000000000000,00	
412250300	-0007056551219,00	
412250301	-0007056551219,00	
412250302	 0000000000000,00	
412250400	-0000139663782,00	
412250401	-0000139663782,00	
412250402	 0000000000000,00	
412280000	-0101478257443,00	
412280100	-0001665232593,00	
412280110	 0000000000000,00	
412280111	 0000000000000,00	
412280112	 0000000000000,00	
412280113	 0000000000000,00	
412280120	-0001665232593,00	
412280121	-0000104513888,00	
412280122	 0000000000000,00	
412280123	 0000000000000,00	
412280124	-0000028238220,00	
412280129	-0001532480485,00	
412280200	-0087115958229,00	
412280210	 0000000000000,00	
412280211	 0000000000000,00	
412280212	 0000000000000,00	
412280213	 0000000000000,00	
412280220	-0087115958229,00	
412280221	-0051709857024,00	
412280222	-0033913045959,00	
412280223	 0000000000000,00	
412280224	-0001493055246,00	
412280229	 0000000000000,00	
412280300	-0012697066621,00	
412280301	-0012697066621,00	
412280302	 0000000000000,00	
412280400	 0000000000000,00	
412280401	 0000000000000,00	
412280402	 0000000000000,00	
412350000	-0202394787753,00	
412350100	-0000595386434,00	
412350101	-0000461818340,00	
412350102	-0000133568094,00	
412350200	-0201799401319,00	
412350201	-0201799401319,00	
412350203	 0000000000000,00	
412380000	-0030468150873,00	
412380100	 0000000000000,00	
412380101	 0000000000000,00	
412380102	 0000000000000,00	
412380200	-0013431023741,00	
412380201	 0000000000000,00	
412380202	 0000000000000,00	
412380203	 0000000000000,00	
412380204	 0000000000000,00	
412380205	 0000000000000,00	
412380206	 0000000000000,00	
412380207	 0000000000000,00	
412380208	 0000000000000,00	
412380290	-0013431023741,00	
412380300	-0017037127132,00	
412380301	 0000000000000,00	
412380302	 0000000000000,00	
412380303	 0000000000000,00	
412380304	 0000000000000,00	
412380305	 0000000000000,00	
412380306	-0017037127132,00	
412450000	-0004163243231,00	
412500000	-0036611664811,00	
412500100	-0036611664811,00	
412800000	-0026237997642,00	
412800100	 0043693246957,00	
412800200	-0065114061575,00	
412800300	-0004817183024,00	
415000000	 0323457912978,00	
415100000	 0396304061593,00	
415150000	 0000000000000,00	
415150100	 0000000000000,00	
415150101	 0000000000000,00	
415150102	 0000000000000,00	
415150103	 0000000000000,00	
415150200	 0000000000000,00	
415150201	 0000000000000,00	
415150202	 0000000000000,00	
415150203	 0000000000000,00	
415150300	 0000000000000,00	
415150301	 0000000000000,00	
415150302	 0000000000000,00	
415150400	 0000000000000,00	
415150401	 0000000000000,00	
415150402	 0000000000000,00	
415200000	 0014071353903,00	
415200100	 0014071353903,00	
415200101	 0000000000000,00	
415200102	 0014071353903,00	
415200109	 0000000000000,00	
415200200	 0000000000000,00	
415200201	 0000000000000,00	
415200202	 0000000000000,00	
415200209	 0000000000000,00	
415200300	 0000000000000,00	
415200301	 0000000000000,00	
415200302	 0000000000000,00	
415200303	 0000000000000,00	
415200304	 0000000000000,00	
415200309	 0000000000000,00	
415250000	 0000000000000,00	
415250100	 0000000000000,00	
415250101	 0000000000000,00	
415250102	 0000000000000,00	
415250103	 0000000000000,00	
415250104	 0000000000000,00	
415250105	 0000000000000,00	
415250106	 0000000000000,00	
415250107	 0000000000000,00	
415250190	 0000000000000,00	
415250200	 0000000000000,00	
415250201	 0000000000000,00	
415250202	 0000000000000,00	
415250203	 0000000000000,00	
415250204	 0000000000000,00	
415250205	 0000000000000,00	
415250206	 0000000000000,00	
415250207	 0000000000000,00	
415250208	 0000000000000,00	
415250290	 0000000000000,00	
415250300	 0000000000000,00	
415250301	 0000000000000,00	
415250302	 0000000000000,00	
415250390	 0000000000000,00	
415250400	 0000000000000,00	
415250401	 0000000000000,00	
415250402	 0000000000000,00	
415250403	 0000000000000,00	
415280000	 0149756717842,00	
415280100	 0117419623247,00	
415280101	 0081937450052,00	
415280102	 0000000000000,00	
415280103	 0000000000000,00	
415280104	 0000093998922,00	
415280105	 0035388174273,00	
415280106	 0000000000000,00	
415280200	 0000000000000,00	
415280201	 0000000000000,00	
415280209	 0000000000000,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	 0000000000000,00	
415280501	 0000000000000,00	
415280502	 0000000000000,00	
415280600	 0010628895965,00	
415280601	 0008938368491,00	
415280602	 0001690527474,00	
415280700	 0021734005936,00	
415280701	 0021270591875,00	
415280702	 0000463414061,00	
415280709	 0000000000000,00	
415280900	-0000025807306,00	
415280901	 0000000000000,00	
415280902	-0000025807306,00	
415280990	 0000000000000,00	
415350000	 0228474940576,00	
415350100	 0000451596603,00	
415350200	 0002505727437,00	
415350300	 0000000000000,00	
415350400	 0224783215086,00	
415350401	 0224783215086,00	
415350402	 0000000000000,00	
415350500	 0000000000000,00	
415350900	 0000734401450,00	
415350901	 0000733644251,00	
415350902	 0000000000000,00	
415350903	 0000000000000,00	
415350990	 0000000757199,00	
415380000	 0000051333641,00	
415380100	 0000051333641,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000000000000,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
