016	BANCO DE CRÉDITO E INVERSIONES
411000000	 3751426727483,00	
411100000	 3098920553529,00	
411150000	 0011519425068,00	
411150100	 0000000159952,00	
411150101	 0000000000000,00	
411150102	 0000000159952,00	
411150103	 0000000000000,00	
411150200	 0000000000000,00	
411150201	 0000000000000,00	
411150202	 0000000000000,00	
411150203	 0000000000000,00	
411150300	 0011519265116,00	
411150301	 0011519265116,00	
411150302	 0000000000000,00	
411150400	 0000000000000,00	
411150401	 0000000000000,00	
411150402	 0000000000000,00	
411200000	 0091895752916,00	
411200100	 0014740520366,00	
411200101	 0000203735144,00	
411200102	 0014536785222,00	
411200109	 0000000000000,00	
411200200	 0002202924630,00	
411200201	 0000000000000,00	
411200202	 0000000000000,00	
411200209	 0002202924630,00	
411200300	 0074952307920,00	
411200301	 0000000000000,00	
411200302	 0059370645985,00	
411200303	 0000000000000,00	
411200304	 0000000000000,00	
411200309	 0015581661935,00	
411250000	 0031054207188,00	
411250100	 0000311111111,00	
411250101	 0000311111111,00	
411250102	 0000000000000,00	
411250103	 0000000000000,00	
411250104	 0000000000000,00	
411250105	 0000000000000,00	
411250106	 0000000000000,00	
411250107	 0000000000000,00	
411250190	 0000000000000,00	
411250200	 0030698357338,00	
411250201	 0004570854757,00	
411250202	 0000000000000,00	
411250203	 0000000000000,00	
411250204	 0000000000000,00	
411250205	 0000000000000,00	
411250206	 0026127502581,00	
411250207	 0000000000000,00	
411250208	 0000000000000,00	
411250290	 0000000000000,00	
411250300	 0000000000000,00	
411250301	 0000000000000,00	
411250302	 0000000000000,00	
411250309	 0000000000000,00	
411250400	 0000044738739,00	
411250401	 0000000000000,00	
411250402	 0000044738739,00	
411250409	 0000000000000,00	
411280000	 1952239752555,00	
411280100	 1575009948367,00	
411280101	 0748047905388,00	
411280102	 0460501053525,00	
411280103	 0000000000000,00	
411280104	 0000037428561,00	
411280105	 0366423560893,00	
411280106	 0000000000000,00	
411280200	 0115937546881,00	
411280201	 0000000000000,00	
411280202	 0000000000000,00	
411280203	 0000233758779,00	
411280204	 0024307778781,00	
411280205	 0000295438279,00	
411280209	 0091100571042,00	
411280300	 0035202831900,00	
411280400	 0010036241346,00	
411280500	 0105582191056,00	
411280501	 0035242515684,00	
411280502	 0070339675372,00	
411280600	 0104481210125,00	
411280601	 0027225018087,00	
411280602	 0077256192038,00	
411280700	 0005988701026,00	
411280701	 0005961667135,00	
411280702	 0000000599688,00	
411280709	 0000026434203,00	
411280900	 0000001081854,00	
411280901	 0000000000000,00	
411280902	 0000001081854,00	
411280990	 0000000000000,00	
411350000	 0398863512523,00	
411350100	 0000096898850,00	
411350200	 0105151749096,00	
411350300	 0000000000000,00	
411350400	 0293441443475,00	
411350401	 0000000000000,00	
411350402	 0293441443475,00	
411350500	 0000000000000,00	
411350900	 0000173421102,00	
411350901	 0000000000000,00	
411350902	 0000000000000,00	
411350903	 0000000000000,00	
411350990	 0000173421102,00	
411380000	 0502640977130,00	
411380100	 0211800303622,00	
411380200	 0040003207011,00	
411380300	 0247703678914,00	
411380400	 0000026607438,00	
411380900	 0003107180145,00	
411380901	 0001919835010,00	
411380990	 0001187345135,00	
411450000	 0110706926149,00	
411450100	 0042619343299,00	
411450101	 0000000000000,00	
411450102	 0042619343299,00	
411450109	 0000000000000,00	
411450200	 0000789299668,00	
411450201	 0000547987219,00	
411450202	 0000241312449,00	
411450209	 0000000000000,00	
411450300	 0000000000000,00	
411450400	 0000438223339,00	
411450900	 0066860059843,00	
411700000	 0543170705195,00	
411720000	 0543170705195,00	
411720100	 0317169358077,00	
411720101	 0280677756070,00	
411720102	 0036356034639,00	
411720109	 0000135567368,00	
411720200	 0044248839578,00	
411720201	 0044225087917,00	
411720202	 0000023751661,00	
411720209	 0000000000000,00	
411720300	 0181752507540,00	
411720301	 0001142363902,00	
