028	BANCO BICE
811000000	 0232165208027,00	
811100000	 0000000000000,00	
811100100	 0000000000000,00	
811100200	 0000000000000,00	
811200000	 0204969298247,00	
811200100	 0175948003402,00	
811200101	 0164357879425,00	
811200102	 0000000000000,00	
811200103	 0011590123977,00	
811200104	 0000000000000,00	
811200600	 0004961154270,00	
811200700	 0001008780927,00	
811200800	 0000242679090,00	
811200900	 0000062528933,00	
811201000	 0015622944214,00	
811201100	 0000197136061,00	
811201200	 0006926071350,00	
811300000	 0020565011494,00	
811300100	 0000000000000,00	
811300200	 0006581265463,00	
811300300	 0000000000000,00	
811300400	 0013877549211,00	
811300500	 0000000000000,00	
811300600	 0000106196820,00	
811400000	 0006630898286,00	
811400100	 0004754311126,00	
811400200	 0000695948792,00	
811400300	 0001180638368,00	
811400400	 0000000000000,00	
811400500	 0000000000000,00	
812000000	 0102348113415,00	
812100000	 0000000000000,00	
812100100	 0000000000000,00	
812100200	 0000000000000,00	
812200000	 0087152542612,00	
812200100	 0078532034756,00	
812200101	 0076901375363,00	
812200102	 0000000000000,00	
812200103	 0001630659393,00	
812200104	 0000000000000,00	
812200600	 0004346963203,00	
812200700	 0000660461302,00	
812200800	 0000146995526,00	
812200900	 0000000000000,00	
812201000	 0003422246683,00	
812201100	 0000043841142,00	
812201200	 0000000000000,00	
812300000	 0012729052368,00	
812300100	 0000000000000,00	
812300200	 0004655756734,00	
812300300	 0000000000000,00	
812300400	 0008073086445,00	
812300500	 0000000000000,00	
812300600	 0000000209189,00	
812400000	 0002466518435,00	
812400100	 0001885246668,00	
812400200	 0000092270498,00	
812400300	 0000489001269,00	
812400400	 0000000000000,00	
812400500	 0000000000000,00	
813000000	 0001946333409,00	
813100000	 0000000000000,00	
813100100	 0000000000000,00	
813100200	 0000000000000,00	
813200000	 0000766590771,00	
813200100	 0000552129266,00	
813200101	 0000552129266,00	
813200102	 0000000000000,00	
813200103	 0000000000000,00	
813200104	 0000000000000,00	
813200600	 0000000000000,00	
813200700	 0000020382858,00	
813200800	 0000000000000,00	
813200900	 0000092856702,00	
813201000	 0000000000000,00	
813201100	 0000000000000,00	
813201200	 0000101221945,00	
