CUENTA	RUBRO	LINEA	ITEM	GLOSA
411000000	41100	00	00	INGRESOS POR INTERESES
411100000	41110	00	00	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
411150000	41115	00	00	Derechos por pactos de retroventa y prestamos de valores
411150100	41115	01	00	Operaciones con bancos del país
411150101	41115	01	01	Contratos de retroventa con otros bancos
411150102	41115	01	02	Contratos de retroventa con Banco Central de Chile
411150103	41115	01	03	Derechos por préstamos de valores
411150200	41115	02	00	Operaciones con bancos del exterior
411150201	41115	02	01	Contratos de retroventa con otros bancos
411150202	41115	02	02	Contratos de retroventa con Bancos Centrales del exterior
411150203	41115	02	03	Derechos por préstamos de valores
411150300	41115	03	00	Operaciones con otras entidades en el país
411150301	41115	03	01	Contratos de retroventa
411150302	41115	03	02	Derechos por préstamos de valores
411150400	41115	04	00	Operaciones con otras entidades en el exterior
411150401	41115	04	01	Contratos de retroventa
411150402	41115	04	02	Derechos por préstamos de valores
411200000	41120	00	00	Instrumentos financieros de deuda
411200100	41120	01	00	Del Estado y Banco Central de Chile
411200101	41120	01	01	Instrumentos financieros de deuda del Banco Central de Chile
411200102	41120	01	02	Bonos y pagarés de la Tesorería General de la República
411200109	41120	01	09	Otros instrumentos financieros de deuda fiscales
411200200	41120	02	00	Otros instrumentos financieros de deuda emitidos en el país
411200201	41120	02	01	Instrumentos financieros de deuda de otros bancos del país
411200202	41120	02	02	Bonos y efectos de comercio de empresas del país
411200209	41120	02	09	Otros instrumentos financieros de deuda emitidos en el país
411200300	41120	03	00	Instrumentos financieros de deuda emitidos en el exterior
411200301	41120	03	01	Instrumentos financieros de deuda de Bancos Centrales en el exterior
411200302	41120	03	02	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411200303	41120	03	03	Instrumentos financieros de deuda de otros bancos en el exterior
411200304	41120	03	04	Bonos y efectos de comercio de empresas en el exterior
411200309	41120	03	09	Otros instrumentos financieros de deuda emitidos en el exterior
411250000	41125	00	00	Adeudado por bancos
411250100	41125	01	00	Bancos del país
411250101	41125	01	01	Préstamos interbancarios de liquidez
411250102	41125	01	02	Préstamos interbancarios comerciales
411250103	41125	01	03	Sobregiros en cuentas corrientes
411250104	41125	01	04	Créditos comercio exterior exportaciones chilenas
411250105	41125	01	05	Créditos comercio exterior importaciones chilenas
411250106	41125	01	06	Créditos comercio exterior entre terceros países
411250107	41125	01	07	Depósitos no transferibles en bancos del país
411250190	41125	01	90	Otras acreencias con bancos del país
411250200	41125	02	00	Bancos del exterior
411250201	41125	02	01	Préstamos interbancarios de liquidez
411250202	41125	02	02	Préstamos interbancarios comerciales
411250203	41125	02	03	Sobregiros en cuentas corrientes
411250204	41125	02	04	Créditos comercio exterior exportaciones chilenas
411250205	41125	02	05	Créditos comercio exterior importaciones chilenas
411250206	41125	02	06	Créditos comercio exterior entre terceros países
411250207	41125	02	07	Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
411250208	41125	02	08	Otros depósitos no transferibles en bancos del exterior
411250290	41125	02	90	Otras acreencias con bancos del exterior
411250300	41125	03	00	Banco Central de Chile
411250301	41125	03	01	Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
411250302	41125	03	02	Otros depósitos en el Banco Central de Chile no disponibles
411250309	41125	03	09	Otras acreencias con el Banco Central de Chile
411250400	41125	04	00	Bancos Centrales del exterior
411250401	41125	04	01	Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
411250402	41125	04	02	Otros depósitos en Bancos Centrales del exterior no disponibles
411250409	41125	04	09	Otras acreencias con Bancos Centrales del exterior
411280000	41128	00	00	Colocaciones comerciales
411280100	41128	01	00	Préstamos comerciales
411280101	41128	01	01	Préstamos en el país
411280102	41128	01	02	Préstamos en el exterior
411280103	41128	01	03	Créditos para infraestructura escolar Ley N° 20.845
411280104	41128	01	04	Préstamos con letras de crédito para fines generales
411280105	41128	01	05	Préstamos con mutuos hipotecarios endosables para fines generales
411280106	41128	01	06	Préstamos con mutuos hipotecarios no endosables para fines generales
411280200	41128	02	00	Créditos de comercio exterior
411280201	41128	02	01	Acreditivos negociados a plazo de exportaciones chilenas
411280202	41128	02	02	Otros créditos para exportaciones chilenas
411280203	41128	02	03	Acreditivos negociados a plazo de importaciones chilenas
411280204	41128	02	04	Otros créditos para importaciones chilenas
411280205	41128	02	05	Acreditivos negociados a plazo de operaciones entre terceros países
